title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
"Samsung Galaxy M14 5G (ICY Silver, 4GB, 128GB Storage) | 50MP Triple Cam | 6000 mAh Battery | 5nm Octa-Core Processor | Android 13 | Without Charger",14490,3.9,5944,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzY4Njg4MTQ0NzY1MTAwOjE2OTIwMjI5MjI6c3BfYXRmOjIwMTQ4MDk3MDAzNDk4OjowOjo&url=%2FSamsung-Storage-Battery-Octa-Core-Processor%2Fdp%2FB0BZCSMP95%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dphones%26qid%3D1692022922%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41btixsj7uL._SX300_SY300_QL70_ML2_.jpg,5944,1402,4405,747,1540,655,47,27,9,4,13
"Samsung Galaxy S23 5G (Green, 8GB, 128GB Storage)",74998,4.5,717,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzY4Njg4MTQ0NzY1MTAwOjE2OTIwMjI5MjI6c3BfYXRmOjIwMTU5MzE0Mjc4Mjk4OjowOjo&url=%2FSamsung-Galaxy-Green-128GB-Storage%2Fdp%2FB0BY8PYVS6%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dphones%26qid%3D1692022922%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41V4aNRci3L._SX300_SY300_QL70_ML2_.jpg,717,215,641,176,76,39,74,16,3,1,6
realme narzo 50i Prime (Dark Blue 4GB RAM+64GB Storage) Octa-core Processor | 5000 mAh Battery,7699,4.0,5956,In stock,False,https://www.amazon.in/realme-Storage-Octa-core-Processor-Battery/dp/B0BBM7L888/ref=sr_1_3?keywords=phones&qid=1692022922&sr=8-3,https://m.media-amazon.com/images/I/41z4-aatqhL._SX300_SY300_QL70_ML2_.jpg,5956,760,4469,487,1487,273,50,25,11,4,10
"Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",8499,3.9,9670,In stock,False,https://www.amazon.in/Samsung-Storage-MediaTek-Octa-core-Processor/dp/B0BMGB2TPR/ref=sr_1_4?keywords=phones&qid=1692022922&sr=8-4,https://m.media-amazon.com/images/I/41IcuNkyrdL._SX300_SY300_QL70_ML2_.jpg,9670,1597,6919,848,2752,749,47,25,11,5,12
"realme narzo N53 (Feather Black, 4GB+64GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display",8999,3.9,4453,In stock,False,https://www.amazon.in/realme-Feather-Segment-Charging-Slimmest/dp/B0C45VWDWJ/ref=sr_1_5?keywords=phones&qid=1692022922&sr=8-5,https://m.media-amazon.com/images/I/41QssaE9gfL._SX300_SY300_QL70_ML2_.jpg,4453,1056,3265,626,1188,430,52,21,9,5,14
"Itel S23 (8GB RAM + 128GB ROM, Up to 16GB RAM with Memory Fusion | 50MP AI Dual Rear Camera | 5000mAh Battery with Type-C Charging | 90 Hz Display) - Mystery White",8999,3.8,620,In stock,False,https://aax-eu.amazon.in/x/c/RKXXJyj53xMU7xjTxCX6uV4AAAGJ9Gze7QMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBOn_RG/https://www.amazon.in/Itel-5000mAh-Battery-Charging-Display/dp/B0C6B25FQ3/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=phones&keywords=phones&pd_rd_i=B0C6B25FQ3&pd_rd_r=c6f03fc1-f0f4-4763-8832-c9148abb9653&pd_rd_w=E1x2J&pd_rd_wg=ZbEKE&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=JSV0PE3A64AKSQE7YYFY&qid=1692022922&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/41YkhXo7qgL._SX300_SY300_QL70_ML2_.jpg,620,368,423,256,197,112,53,15,9,4,19
"Itel S23 (8GB RAM + 128GB ROM, Up to 16GB RAM with Memory Fusion | 50MP AI Dual Rear Camera | 5000mAh Battery with Type-C Charging | 90 Hz Display) - Mystery White",8999,3.8,620,In stock,False,https://aax-eu.amazon.in/x/c/RKXXJyj53xMU7xjTxCX6uV4AAAGJ9Gze7QMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBOn_RG/https://www.amazon.in/Itel-5000mAh-Battery-Charging-Display/dp/B0C6B25FQ3/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=phones&keywords=phones&pd_rd_i=B0C6B25FQ3&pd_rd_r=c6f03fc1-f0f4-4763-8832-c9148abb9653&pd_rd_w=E1x2J&pd_rd_wg=ZbEKE&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=JSV0PE3A64AKSQE7YYFY&qid=1692022922&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/41YkhXo7qgL._SX300_SY300_QL70_ML2_.jpg,620,368,423,256,197,112,53,15,9,4,19
"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",11499,4.1,25675,In stock,True,https://www.amazon.in/Samsung-Galaxy-Storage-6000mAh-Battery/dp/B0B4F2XCK3/ref=sr_1_6?keywords=phones&qid=1692022922&sr=8-6,https://m.media-amazon.com/images/I/41op1vdp-UL._SX300_SY300_QL70_ML2_.jpg,25675,2821,20030,1647,5645,1174,52,26,10,3,9
"Redmi A2 (Sea Green, 4GB RAM, 64GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]",7299,3.8,2134,In stock,False,https://www.amazon.in/Redmi-Storage-Powerful-Processor-Warranty/dp/B0C46KPXCM/ref=sr_1_7?keywords=phones&qid=1692022922&sr=8-7,https://m.media-amazon.com/images/I/41zxerd4OJL._SX300_SY300_QL70_ML2_.jpg,2134,563,1456,320,678,243,46,22,12,4,16
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",8499,3.9,9670,In stock,False,https://www.amazon.in/Samsung-Storage-MediaTek-Octa-core-Processor/dp/B0BMGB3CH9/ref=sr_1_8?keywords=phones&qid=1692022922&sr=8-8,https://m.media-amazon.com/images/I/41kg-+XWoxL._SY300_SX300_.jpg,9670,1597,6919,848,2752,749,47,25,11,5,12
"Nokia C12 Android 12 (Go Edition) Smartphone, All-Day Battery, 4GB RAM (2GB RAM + 2GB Virtual RAM) + 64GB Capacity | Light Mint",6299,3.1,1125,In stock,False,https://www.amazon.in/Nokia-Android-Smartphone-All-Day-Capacity/dp/B0BW5QRCPG/ref=sr_1_9?keywords=phones&qid=1692022922&sr=8-9,https://m.media-amazon.com/images/I/41uvpRnRUdL._SX300_SY300_QL70_ML2_.jpg,1125,424,566,180,559,244,34,16,12,7,32
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",9499,3.9,9670,In stock,False,https://www.amazon.in/Samsung-Storage-MediaTek-Octa-core-Processor/dp/B0BMGG6NKT/ref=sr_1_10?keywords=phones&qid=1692022922&sr=8-10,https://m.media-amazon.com/images/I/41kg-+XWoxL._SY300_SX300_.jpg,9670,1597,6919,848,2752,749,47,25,11,5,12
"Samsung Galaxy A23 5G, Orange (8GB, 128GB Storage) with Offer",23999,3.7,438,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzY4Njg4MTQ0NzY1MTAwOjE2OTIwMjI5MjI6c3BfbXRmOjIwMTEyNTA0OTYwMzk4OjowOjo&url=%2FSamsung-Galaxy-Orange-128GB-Storage%2Fdp%2FB0BS17TCSS%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dphones%26qid%3D1692022922%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/41GhjaE0WKL._SY300_SX300_QL70_ML2_.jpg,438,112,290,40,148,72,46,21,10,6,17
"IKALL Z18 Smartphone (6.5 HD Display, 6GB Ram, 128GB Storage) (Champagne)",8799,2.0,5,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzY4Njg4MTQ0NzY1MTAwOjE2OTIwMjI5MjI6c3BfbXRmOjIwMTY3MTA2MTk2MTk4OjowOjo&url=%2FIKALL-Smartphone-Display-Storage-Champagne%2Fdp%2FB0C6TWD9QC%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dphones%26qid%3D1692022922%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/41pnSdrzltL._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,25,0,0,0,75
