title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
"Kindle (10th Gen), 6"" Display with Built-in Light, WiFi (Black)",7999,4.5,10117,In stock,True,https://www.amazon.in/Kindle-10th-Gen/dp/B07FQ4Q7MB/ref=sr_1_1?keywords=Amazon+kindle&qid=1692375409&sr=8-1,https://m.media-amazon.com/images/I/41YBuZQJHOL._SY300_SX300_.jpg,10117,1272,9006,969,1111,303,69,20,5,2,4
"All-new Kindle Paperwhite (16 GB) – Now with a 6.8"" display and adjustable warm light",14999,4.5,3198,In stock,True,https://www.amazon.in/Staging-Product-Receive-and-Stow/dp/B09TMFWCBQ/ref=sr_1_2?keywords=Amazon+kindle&qid=1692375409&sr=8-2,https://m.media-amazon.com/images/I/5183wSEJFLL._SY300_SX300_.jpg,3198,470,2915,350,283,120,75,16,4,1,4
"All-new Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage (Black)",9999,4.5,480,In stock,True,https://www.amazon.in/All-new-Kindle-2022-release-high-resolution/dp/B09SWSPYHW/ref=sr_1_3?keywords=Amazon+kindle&qid=1692375409&sr=8-3,https://m.media-amazon.com/images/I/51yt6GIho9L._SY300_SX300_.jpg,480,90,417,66,63,24,70,17,5,3,5
"ProElite Smart Deer Flip case Cover for Amazon Kindle Paperwhite 6.8"" 11th Generation (Black) [Fits Signature Edition Also]",499,4.6,856,In stock,False,https://aax-eu.amazon.in/x/c/RKPJ-jJjMyrA2rbFYgJ2MLcAAAGKCW9iqgMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAS0RhU/https://www.amazon.in/ProElite-Amazon-Paperwhite-Generation-Signature/dp/B09M6KM177/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Amazon+kindle&keywords=Amazon+kindle&pd_rd_i=B09M6KM177&pd_rd_r=3c5d50a8-443a-4f9c-9c96-26266cc44e08&pd_rd_w=6SLmI&pd_rd_wg=xtGRn&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=0P6B8RSGJDFAMNR8C9FY&qid=1692375409&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/41CQJHx2qnL._SY300_SX300_QL70_ML2_.jpg,856,99,789,86,67,13,72,20,5,1,2
"ProElite Smart Deer Flip case Cover for Amazon Kindle Paperwhite 6.8"" 11th Generation (Black) [Fits Signature Edition Also]",499,4.6,856,In stock,False,https://aax-eu.amazon.in/x/c/RKPJ-jJjMyrA2rbFYgJ2MLcAAAGKCW9iqgMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAS0RhU/https://www.amazon.in/ProElite-Amazon-Paperwhite-Generation-Signature/dp/B09M6KM177/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Amazon+kindle&keywords=Amazon+kindle&pd_rd_i=B09M6KM177&pd_rd_r=3c5d50a8-443a-4f9c-9c96-26266cc44e08&pd_rd_w=6SLmI&pd_rd_wg=xtGRn&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=0P6B8RSGJDFAMNR8C9FY&qid=1692375409&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/41CQJHx2qnL._SY300_SX300_QL70_ML2_.jpg,856,99,789,86,67,13,72,20,5,1,2
"All-new Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light",13999,4.5,3198,In stock,True,https://www.amazon.in/All-new-Kindle-Paperwhite-GB-adjustable/dp/B08N3RQZ51/ref=sr_1_4?keywords=Amazon+kindle&qid=1692375409&sr=8-4,https://m.media-amazon.com/images/I/5183wSEJFLL._SY300_SX300_.jpg,3198,470,2915,350,283,120,75,16,4,1,4
"All-new Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage (Denim)",9999,4.5,480,In stock,True,https://www.amazon.in/Staging-Product-Receive-and-Stow/dp/B09SWWL69K/ref=sr_1_5?keywords=Amazon+kindle&qid=1692375409&sr=8-5,https://m.media-amazon.com/images/I/51oEMlwbMaL._SY300_SX300_.jpg,480,90,417,66,63,24,70,17,5,3,5
"Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 32 GB, WiFi (Champagne Gold)",24999,4.5,1237,In stock,False,https://www.amazon.in/All-new-Kindle-Oasis/dp/B07L5JKKG8/ref=sr_1_6?keywords=Amazon+kindle&qid=1692375409&sr=8-6,https://m.media-amazon.com/images/I/41jircTkwIL._SY300_SX300_.jpg,1237,303,1074,217,163,86,71,16,4,1,7
"Introducing Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light",17999,4.5,529,In stock,False,https://www.amazon.in/Staging-Product-Not-Retail-Sale/dp/B08N3PFJLG/ref=sr_1_7?keywords=Amazon+kindle&qid=1692375409&sr=8-7,https://m.media-amazon.com/images/I/41095wlvi6L._SY300_SX300_.jpg,529,75,475,53,54,22,71,18,6,1,5
"Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 8 GB, WiFi (Graphite)",21999,4.5,1237,In stock,True,https://www.amazon.in/All-new-Kindle-Oasis/dp/B07L5HHTDX/ref=sr_1_8?keywords=Amazon+kindle&qid=1692375409&sr=8-8,https://m.media-amazon.com/images/I/41jircTkwIL._SY300_SX300_.jpg,1237,303,1074,217,163,86,71,16,4,1,7
