title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
"Love Beauty & Planet Cherry Blossom & Tea Tree Body Lotion for 24hr Moisturization |For floral luxurious indulgence| Non Sticky, Paraben free,190ml",243,3.9,19,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNjQxMTQyNTA4MDk3NTk0OjE2OTIzNzU4MjU6c3BfYXRmOjIwMTA4Njc1MTM4NTk4OjowOjo&url=%2FLove-Beauty-Planet-Cherry-Blossom%2Fdp%2FB0B5V9ZWXQ%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DBeauty%26qid%3D1692375825%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41XUyMduIRL._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,32,44,16,0,7
"Nature Derma 1% Natural Biome-Boost™ Moisturizer with Subligana | Helps Reduce Acne and Blemishes| For Soothed, Strengthened Skin | 15ml | Dermatologically Tested",269,4.0,1,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNjQxMTQyNTA4MDk3NTk0OjE2OTIzNzU4MjU6c3BfYXRmOjMwMDAzMDQzMzAyNjEzMjo6MDo6&url=%2FBiome-BoostTM-Moisturizer-Subligana-Strengthened-Dermatologically%2Fdp%2FB0C6M18K52%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DBeauty%26qid%3D1692375825%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/31W69wSipSL._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,0,100,0,0,0
"Baby Dove Rich Moisture Hair to Toe Baby Wash 200 ml, No Tears Body Wash for Baby's Soft Skin - Hypoallergenic, No Sulphates, No Parabens",172,4.3,11944,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNjQxMTQyNTA4MDk3NTk0OjE2OTIzNzU4MjU6c3BfYXRmOjIwMDU4MTkyNDg3NTk4OjowOjo&url=%2FBaby-Dove-Rich-Moisture-200ml%2Fdp%2FB072FTKRLB%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DBeauty%26qid%3D1692375825%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/31o1LkfBtuL._SX300_SY300_QL70_ML2_.jpg,11944,1863,9953,1384,1991,479,59,24,9,3,5
"Swiss Beauty Bold Matte Lipliner Pencil Set | Long Stay | Smudge Free | Waterproof | Creamy Lip Liner Pencil| Shade- Bobby Brown, 1.6g",64,3.7,326,In stock,False,https://www.amazon.in/Swiss-Beauty-Matte-Lipliner-Pencil/dp/B098NTWM4S/ref=sr_1_5?keywords=Beauty&qid=1692375825&sr=8-5,https://m.media-amazon.com/images/I/212TTpOeHyS._SX300_SY300_QL70_ML2_.jpg,326,44,200,21,126,23,42,19,17,9,13
"Swiss Beauty Pure Matte Lipstick | Long Lasting, Hydrating & Lightweight Lipstick | Bare, 3.8gm|",183,3.8,2240,In stock,False,https://www.amazon.in/SWISS-BEAUTY-Swiss-Beauty-Lipstick/dp/B07SYL2FZK/ref=sr_1_6?keywords=Beauty&qid=1692375825&sr=8-6,https://m.media-amazon.com/images/I/31cY+-CuXyL._SY300_SX300_.jpg,2240,230,1541,118,699,112,46,22,13,7,11
"Swiss Beauty Liquid Light Weight Concealer With Full Coverage |Easily Blendable Concealer For Face Makeup With Matte Finish | Shade- Medium-Beige, 6G |",183,4.1,7698,In stock,True,https://www.amazon.in/Beauty-Professional-Liquid-Concealer-Shade-04/dp/B07WSQQ68N/ref=sr_1_7?keywords=Beauty&qid=1692375825&sr=8-7,https://m.media-amazon.com/images/I/31X0ktajMxL._SX300_SY300_QL70_ML2_.jpg,7698,595,5806,449,1892,146,48,27,14,5,5
Typsy Beauty Enchanted Garden Rose Blush I 3D Cream Blush I Poison Apple | Infused with Vitamin E & Carnauba Wax | Cream to Matte Finish on Application I Cool Toned Fusia Red I Korea Formulated | 4.8g,1139,5.0,8,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDUxNDYyMjI4MTg1OTQ6MTY5MjM3NTgyNTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMDIxMDY2OTEyMzMyOjowOjo&url=%2FTypsy-Beauty-Enchanted-Application-Formulated%2Fdp%2FB0C2PHD6GW%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26cv_ct_cx%3DBeauty%26keywords%3DBeauty%26pd_rd_i%3DB0C2PHD6GW%26pd_rd_r%3Dbee52b4d-e30a-4795-9676-397cc3fab013%26pd_rd_w%3DgE6wk%26pd_rd_wg%3DFeQi1%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3D80VH79XK8THS0J2NHA22%26qid%3D1692375825%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/41AP89QcFXL._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,100,0,0,0,0
"Lamel- Blush cheek colour 403- Coral|Richly pigmented | Matte finish | Soft, silky texture |Blends easily |Universally flattering shades |3.8gm",379,4.0,42,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDUxNDYyMjI4MTg1OTQ6MTY5MjM3NTgyNTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMDMxMzAwODExMjMyOjoxOjo&url=%2FLamel-pigmented-texture-Universally-flattering%2Fdp%2FB0B56X2CC6%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26cv_ct_cx%3DBeauty%26keywords%3DBeauty%26pd_rd_i%3DB0B56X2CC6%26pd_rd_r%3Dbee52b4d-e30a-4795-9676-397cc3fab013%26pd_rd_w%3DgE6wk%26pd_rd_wg%3DFeQi1%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3D80VH79XK8THS0J2NHA22%26qid%3D1692375825%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/41J0zHQG15L._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,55,17,13,4,12
Lamel- BB Blush 401-Tea Rose |Creamy formula | Beautiful satin finish |Blends easily |Flattering flush of colour | 10ml,427,4.5,11,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDUxNDYyMjI4MTg1OTQ6MTY5MjM3NTgyNTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMDMxMjUwOTYzMDMyOjoyOjo&url=%2FLamel-401-Tea-formula-Beautiful-Flattering%2Fdp%2FB09SXFXNVS%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26cv_ct_cx%3DBeauty%26keywords%3DBeauty%26pd_rd_i%3DB09SXFXNVS%26pd_rd_r%3Dbee52b4d-e30a-4795-9676-397cc3fab013%26pd_rd_w%3DgE6wk%26pd_rd_wg%3DFeQi1%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3D80VH79XK8THS0J2NHA22%26qid%3D1692375825%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/41Dg1c643wL._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,67,12,21,0,0
"Rimmel London Stay Matte Pressed Powder, Amber, 14g",176,4.4,44802,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDUxNDYyMjI4MTg1OTQ6MTY5MjM3NTgyNTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMDIwNDAwODUyNTMyOjo0Ojo&url=%2FRimmel-London-Matte-Pressed-Powder%2Fdp%2FB00CQ3KRR0%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26cv_ct_cx%3DBeauty%26keywords%3DBeauty%26pd_rd_i%3DB00CQ3KRR0%26pd_rd_r%3Dbee52b4d-e30a-4795-9676-397cc3fab013%26pd_rd_w%3DgE6wk%26pd_rd_wg%3DFeQi1%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3D80VH79XK8THS0J2NHA22%26qid%3D1692375825%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/51jCU-1jE+L._SY300_SX300_.jpg,44802,4297,39017,3400,5775,897,67,17,9,3,4
