title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
The Making of a Superhuman,695,4.4,32,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTk5Njg1NjExOTgwMTIwOjE2OTI0MzE5ODU6c3BfYXRmOjMwMDAxNjg0NDI1OTgzMjo6MDo6&url=%2FMaking-Superhuman-Sajeev-Nair%2Fdp%2F9354076955%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DBook%26qid%3D1692431985%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"https://m.media-amazon.com/images/I/41GaYKBqMIS._SX198_BO1,204,203,200_QL40_ML2_.jpg",32,24,30,23,2,1,72,16,0,0,12
Think and Grow Rich THE 21st CENTURY EDITION,99,4.5,4701,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTk5Njg1NjExOTgwMTIwOjE2OTI0MzE5ODU6c3BfYXRmOjIwMDUxMTIwMTEyNjAyOjowOjo&url=%2FThink-Grow-Rich-21st-CENTURY%2Fdp%2F9389931525%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DBook%26qid%3D1692431985%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"https://m.media-amazon.com/images/I/41aL70yoloL._SX198_BO1,204,203,200_QL40_ML2_.jpg",4701,354,4181,277,520,77,70,19,6,2,3
"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius",127,4.4,7099,In stock,True,https://www.amazon.in/Do-Today-procrastination-productivity-meaningful/dp/0143452126/ref=sr_1_3?keywords=Book&qid=1692431985&sr=8-3,"https://m.media-amazon.com/images/I/41W-o6xu2bL._SY264_BO1,204,203,200_QL40_ML2_.jpg",7099,1291,6272,1170,827,121,59,29,9,2,2
"Classmate Drawing Book - Unruled, 40 Pages, 210 mm x 297 mm - Pack of 4",140,4.5,5293,In stock,True,https://www.amazon.in/Classmate-Drawing-Book-Unruled-Pages/dp/B086Q3QMFS/ref=sr_1_4?keywords=Book&qid=1692431985&sr=8-4,https://m.media-amazon.com/images/I/41KFL-3kiUL._SX300_SY300_QL70_ML2_.jpg,5293,194,4816,169,477,25,69,22,6,2,2
Life's Amazing Secrets: How to find Bala,159,4.6,22245,In stock,True,https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=sr_1_5?keywords=Book&qid=1692431985&sr=8-5,"https://m.media-amazon.com/images/I/51PJyvcfPGL._SY264_BO1,204,203,200_QL40_ML2_.jpg",22245,2883,20478,2668,1767,215,73,19,5,1,2
"The Hidden Hindu Book 2 ""द हिडन हिंदू-2"" - अक्षत गुप्ता (Hindi Version of Hidden Hindu 2) - Akshat Gupta",180,4.6,104,In stock,True,https://aax-eu.amazon.in/x/c/RNxtLPYvIHV6lShT7ajFcasAAAGKDM6tWQMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICCUF2c6/https://www.amazon.in/Hidden-Hindu-Book-%E0%A4%B9%E0%A4%BF%E0%A4%A1%E0%A4%A8-%E0%A4%B9%E0%A4%BF%E0%A4%82%E0%A4%A6%E0%A5%82-2/dp/9355218842/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Book&keywords=Book&pd_rd_i=9355218842&pd_rd_r=ae0a1ba4-5751-4a64-a796-f50f130dab33&pd_rd_w=tMfPg&pd_rd_wg=OJbF3&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=334YAB7GCXDN04G9MT8G&qid=1692431985&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,"https://m.media-amazon.com/images/I/51Kmfmb1LCL._SX198_BO1,204,203,200_QL40_ML2_.jpg",104,39,97,37,7,2,80,12,2,1,4
"The Hidden Hindu Book 2 ""द हिडन हिंदू-2"" - अक्षत गुप्ता (Hindi Version of Hidden Hindu 2) - Akshat Gupta",180,4.6,104,In stock,True,https://aax-eu.amazon.in/x/c/RNxtLPYvIHV6lShT7ajFcasAAAGKDM6tWQMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICCUF2c6/https://www.amazon.in/Hidden-Hindu-Book-%E0%A4%B9%E0%A4%BF%E0%A4%A1%E0%A4%A8-%E0%A4%B9%E0%A4%BF%E0%A4%82%E0%A4%A6%E0%A5%82-2/dp/9355218842/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Book&keywords=Book&pd_rd_i=9355218842&pd_rd_r=ae0a1ba4-5751-4a64-a796-f50f130dab33&pd_rd_w=tMfPg&pd_rd_wg=OJbF3&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=334YAB7GCXDN04G9MT8G&qid=1692431985&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,"https://m.media-amazon.com/images/I/51Kmfmb1LCL._SX198_BO1,204,203,200_QL40_ML2_.jpg",104,39,97,37,7,2,80,12,2,1,4
5000 + Daily Use English Sentences | Kanchan Keshari,289,4.2,640,In stock,True,https://www.amazon.in/Daily-English-Sentences-Kanchan-Keshari/dp/9394200509/ref=sr_1_6?keywords=Book&qid=1692431985&sr=8-6,"https://m.media-amazon.com/images/I/51-EBRrHjqL._SX198_BO1,204,203,200_QL40_ML2_.jpg",640,92,518,73,122,19,61,20,9,2,9
Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings (Mastery Series Book 1),1550,4.5,9663,Not Available,True,https://www.amazon.in/Master-Your-Emotions-Practical-Negativity-ebook/dp/B07CX8H6YH/ref=sr_1_7?keywords=Book&qid=1692431985&sr=8-7,,9663,921,8579,830,1084,91,66,23,8,2,2
Mandala Art: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),159,4.5,5546,In stock,True,https://www.amazon.in/Mandala-Art-Colouring-Adults-Sheets/dp/9386538601/ref=sr_1_8?keywords=Book&qid=1692431985&sr=8-8,"https://m.media-amazon.com/images/I/713iGaS3K7L._SX198_BO1,204,203,200_QL40_ML2_.jpg",5546,422,4995,387,551,35,69,21,7,2,2
The Psychology Of Money,259,4.6,53124,In stock,False,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=sr_1_9?keywords=Book&qid=1692431985&sr=8-9,"https://m.media-amazon.com/images/I/41r6F2LRf8L._SY264_BO1,204,203,200_QL40_ML2_.jpg",53124,2598,48919,2117,4206,481,70,21,5,1,2
The Good Girl's Guide to Murder: Book 1 (A Good Girl?s Guide to Murder) (A Good Girl?s Guide to Murder),359,4.6,40550,In stock,True,https://www.amazon.in/Good-Girls-Guide-Murder/dp/1405293187/ref=sr_1_10?keywords=Book&qid=1692431985&sr=8-10,"https://m.media-amazon.com/images/I/51X6CHoTa3L._SY264_BO1,204,203,200_QL40_ML2_.jpg",40550,1358,36609,1207,3941,151,71,21,5,1,2
HOW TO STOP WORRYING AND START LIVING-FINGERPRINT,149,4.4,26628,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTk5Njg1NjExOTgwMTIwOjE2OTI0MzE5ODU6c3BfbXRmOjIwMDUwNzI0MTkyNjAyOjowOjo&url=%2FHOW-STOP-WORRYING-START-LIVING-FINGERPRINT%2Fdp%2F8175993952%2Fref%3Dsr_1_11_sspa%3Fkeywords%3DBook%26qid%3D1692431985%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"https://m.media-amazon.com/images/I/51ytROYQLGS._SX198_BO1,204,203,200_QL40_ML2_.jpg",26628,3239,23288,2839,3340,400,64,23,8,2,3
MemoryùHow to Develop Train and Use it Tamil,109,4.2,301,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTk5Njg1NjExOTgwMTIwOjE2OTI0MzE5ODU6c3BfbXRmOjIwMDcyMDYzNTUyNzAyOjowOjo&url=%2FMemory-How-Develop-Train-Use-Tamil%2Fdp%2F9354401694%2Fref%3Dsr_1_12_sspa%3Fkeywords%3DBook%26qid%3D1692431985%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"https://m.media-amazon.com/images/I/41UuwRqhm8L._SX198_BO1,204,203,200_QL40_ML2_.jpg",301,14,245,12,56,2,57,24,9,2,8
World's Greatest Pack for Personal Growth and Wealth (Set of 4 Books),325,4.5,24274,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDI4MDk3NzM1OTE2MDI0OjE2OTI0MzE5ODY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDI2MzMzOTI0NTk4OjowOjo&url=%2FWorlds-Greatest-Personal-Growth-Wealth%2Fdp%2F9389432014%2Fref%3Dsxin_25_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26cv_ct_cx%3DBook%26keywords%3DBook%26pd_rd_i%3D9389432014%26pd_rd_r%3Dae0a1ba4-5751-4a64-a796-f50f130dab33%26pd_rd_w%3DckaEN%26pd_rd_wg%3DOJbF3%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3D334YAB7GCXDN04G9MT8G%26qid%3D1692431985%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"https://m.media-amazon.com/images/I/51Do0NLYmDL._SX198_BO1,204,203,200_QL40_ML2_.jpg",24274,2025,21645,1683,2629,342,68,21,6,2,3
