title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
"CP PLUS 2MP Full HD Smart Wi-Fi CCTV Home Security Camera | 360° with Pan Tilt | View & Talk | Motion Alert | Night Vision | SD Card (Upto 128 GB), Alexa & Google Support | IR Distance 10mtr | CP-E25A",1649,3.7,3602,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTY5MjEwMjYzMTQ4Nzk0OjE2OTIzNzYzNTk6c3BfYXRmOjIwMTI2MDUxNzg5MTk4OjowOjo&url=%2FCP-PLUS-Security-Distance-CP-E25A%2Fdp%2FB0BBV83YF9%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DCamera%26qid%3D1692376359%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/31Nk80-hUUL._SX300_SY300_QL70_ML2_.jpg,3602,828,2351,361,1251,467,46,19,11,5,19
PHILIPS Smart Indoor WiFi Security Camera HSP1000 | Full HD 2MP | Two Way Talk | Motion and Sound Detect | Enhanced Night Vision | Built in Siren | 2 Year Warranty,2399,4.9,20,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTY5MjEwMjYzMTQ4Nzk0OjE2OTIzNzYzNTk6c3BfYXRmOjMwMDAxNjI2NjQyODQzMjo6MDo6&url=%2FPHILIPS-Security-HSP1000-Enhanced-Warranty%2Fdp%2FB0C827BTJV%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DCamera%26qid%3D1692376359%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/21D7OG6UjuL._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,86,14,0,0,0
TP-Link Tapo 360° 2MP 1080p Full HD Pan/Tilt Home Security Wi-Fi Smart Camera| Alexa Enabled| 2-Way Audio| Night Vision| Motion Detection| Sound and Light Alarm| Indoor CCTV (Tapo C200) White,2299,4.3,93731,In stock,True,https://www.amazon.in/TP-Link-Wireless-Security-Tapo-C200/dp/B07XLML2YS/ref=sr_1_3?keywords=Camera&qid=1692376359&sr=8-3,https://m.media-amazon.com/images/I/41D3A9VeHlL._SX300_SY300_QL70_ML2_.jpg,93731,21326,84256,17905,9414,3421,59,24,7,2,7
"MI Xiaomi Wireless Home Security Camera 2i 2022 Edition | Full HD Picture | 360 View | 2MP | AI Powered Motion Detection | Enhanced Night Vision| Talk Back Feature (2 Way Calling), 1080p, White",2999,4.1,5971,In stock,True,https://www.amazon.in/MI-Wireless-Security-Detection-Enhanced/dp/B0B51WPT24/ref=sr_1_4?keywords=Camera&qid=1692376359&sr=8-4,https://m.media-amazon.com/images/I/213CLNWMNrL._SX300_SY300_QL70_ML2_.jpg,5971,915,4697,463,1275,452,57,22,8,3,11
"CP PLUS 2MP Full HD Smart Wi-Fi CCTV Home Security Camera | 360° with Pan Tilt | View & Talk | Motion Alert | Night Vision | SD Card (Upto 128 GB), Alexa & Google Support | IR Distance 10mtr | CP-E25A",1649,3.7,3602,In stock,True,https://www.amazon.in/CP-PLUS-Security-Distance-CP-E25A/dp/B0BBV83YF9/ref=sr_1_5?keywords=Camera&qid=1692376359&sr=8-5,https://m.media-amazon.com/images/I/31Nk80-hUUL._SX300_SY300_QL70_ML2_.jpg,3602,828,2351,361,1251,467,46,19,11,5,19
Fujifilm Instax Square Link Smartphone Instant Photo Printer - White,13399,4.7,98,In stock,True,https://aax-eu.amazon.in/x/c/RIbARKBpTORA18iJ0QzdHgMAAAGKCX3jcQMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICCzHjAN/https://www.amazon.in/Fujifilm-Instax-Smartphone-Instant-Printer/dp/B0BGY52ZF4/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Camera&keywords=Camera&pd_rd_i=B0BGY52ZF4&pd_rd_r=598a5546-02ca-46fe-969e-5121a610d1f8&pd_rd_w=hBJaY&pd_rd_wg=FBAky&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=NYBWP0N6PH42VQPAEG36&qid=1692376359&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/31tmrq+I7vL._SX300_SY300_.jpg,0,0,0,0,0,0,81,12,2,0,5
Fujifilm Instax Square Link Smartphone Instant Photo Printer - White,13399,4.7,98,In stock,True,https://aax-eu.amazon.in/x/c/RIbARKBpTORA18iJ0QzdHgMAAAGKCX3jcQMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICCzHjAN/https://www.amazon.in/Fujifilm-Instax-Smartphone-Instant-Printer/dp/B0BGY52ZF4/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Camera&keywords=Camera&pd_rd_i=B0BGY52ZF4&pd_rd_r=598a5546-02ca-46fe-969e-5121a610d1f8&pd_rd_w=hBJaY&pd_rd_wg=FBAky&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=NYBWP0N6PH42VQPAEG36&qid=1692376359&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/31tmrq+I7vL._SX300_SY300_.jpg,0,0,0,0,0,0,81,12,2,0,5
"CATBAT Kids Camera for Girls Boys, 13MP 1080P HD Digital Video Camera and Photography for Age 3-10 Years Old Children, Christmas Birthday Festival Gift for Kids (Pink)",899,3.2,26,In stock,True,https://www.amazon.in/CATBAT-Kids-Camera-Photography-Christmas/dp/B0CCSYTKLM/ref=sr_1_6?keywords=Camera&qid=1692376359&sr=8-6,https://m.media-amazon.com/images/I/415ypErl-gL._SX300_SY300_QL70_ML2_.jpg,26,10,12,4,14,6,34,13,16,13,24
TP-Link Tapo C210 360° 3MP Full HD 2304 X 1296P Video Pan/Tilt Smart Wi-Fi Security Camera | Alexa Enabled | 2-Way Audio| Night Vision| Motion Detection | Indoor CCTV White,2699,4.3,14549,In stock,True,https://www.amazon.in/TP-Link-Security-Rotational-Required-Definition/dp/B095CLQ1PT/ref=sr_1_7?keywords=Camera&qid=1692376359&sr=8-7,https://m.media-amazon.com/images/I/31cECdQVT7L._SX300_SY300_QL70_ML2_.jpg,14549,3269,13075,2730,1463,539,59,24,7,2,7
"Imou 360° 1080P Full HD Security Camera, Human Detection, Motion Tracking, 2-Way Audio, Night Vision, Dome Camera with WiFi & Ethernet Connection, Alexa Google Assistant, Up to 256GB SD Card Support",1730,4.1,6084,In stock,True,https://www.amazon.in/Imou-Security-Advanced-Surveillance-Detection/dp/B07YFWVRCM/ref=sr_1_8?keywords=Camera&qid=1692376359&sr=8-8,https://m.media-amazon.com/images/I/31Yg8KP64NL._SX300_SY300_QL70_ML2_.jpg,6084,1210,4787,773,1297,437,55,23,8,3,11
Canon EOS 1500D 24.1 Digital SLR Camera (Black) with EF S18-55 is II Lens,41989,4.4,9622,In stock,True,https://www.amazon.in/Canon-1500D-Digital-Camera-S18-55/dp/B07BS4TJ43/ref=sr_1_9?keywords=Camera&qid=1692376359&sr=8-9,https://m.media-amazon.com/images/I/51UHoxzInpL._SY300_SX300_QL70_ML2_.jpg,9622,2796,8486,2410,1136,386,63,24,6,2,5
