title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
"beatXP Vega 1.43"" (3.6 cm) Super AMOLED Display, One-Tap Bluetooth Calling Smart Watch, 1000 Nits Brightness, Fast Charging, 24 * 7 Health Monitoring (Electric Black)",2599,4.1,1454,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjEyODI1MDEwMzAwNjU0OjE2OTIzNzY2MDc6c3BfYXRmOjIwMTYyNzA2MzM4OTk4OjowOjo&url=%2FbeatXP-Bluetooth-Brightness-Charging-Monitoring%2Fdp%2FB0BRFWFK29%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DElectronics%26qid%3D1692376607%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51qEgNcCNnL._SX300_SY300_QL70_ML2_.jpg,1454,833,1147,677,307,156,54,25,7,4,11
"FATMUG Compact Electronics Accessories Travel Organizer Bag for Cables, Devices and More(Light Grey)",599,0.0,0,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjEyODI1MDEwMzAwNjU0OjE2OTIzNzY2MDc6c3BfYXRmOjIwMTIxMzc1NjA3NTk4OjowOjo&url=%2FFATMUG-Compact-Electronics-Accessories-Organizer%2Fdp%2FB0BTDPMXFS%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DElectronics%26qid%3D1692376607%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/510lR6ftUZL._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,0,0,0,0,0
"F FUNX FFUNX LCD Writing Tablet 11.5 Inch, Drawing Tablet Doodle Board Drawing Pad for Adults & Kids, Electronic Writing Board (White)",1599,4.1,7,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjEyODI1MDEwMzAwNjU0OjE2OTIzNzY2MDc6c3BfYXRmOjMwMDAyMjcxMTIxNjkzMjo6MDo6&url=%2FFUNX-Writing-Tablet-Drawing-Electronic%2Fdp%2FB0BXKRMVQZ%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DElectronics%26qid%3D1692376607%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51iG9+7i1WL._SY300_SX300_.jpg,0,0,0,0,0,0,69,0,0,31,0
"ZEBRONICS Zeb LS10 Flexible Strip with 20 RGB Modes, 3M, 5V USB Powered, Remote Control",599,4.5,0,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjEyODI1MDEwMzAwNjU0OjE2OTIzNzY2MDc6c3BfYXRmOjMwMDAyNzE1MDg2MjgzMjo6MDo6&url=%2FZEBRONICS-Zeb-LS10-Flexible-3M%2Fdp%2FB0C5QY6Q72%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DElectronics%26qid%3D1692376607%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41coXwnFlcL._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,0,0,0,0,0
"beatXP Vega Neo 1.43” AMOLED Bluetooth Calling Smartwatch with 466 * 466 Pixel, 60 Hz Refresh Rate, 500 Nits, Always on Display, Health Tracking, 100+ Sports Modes (Black Strap, 1.43)",2299,4.0,1166,In stock,True,https://www.amazon.in/beatXP-Bluetooth-Calling-Smartwatch-Tracking/dp/B0C4T9J84B/ref=sr_1_5?keywords=Electronics&qid=1692376607&sr=8-5,https://m.media-amazon.com/images/I/516Zxe5cQJL._SX300_SY300_QL70_ML2_.jpg,1166,758,926,620,241,138,52,27,6,2,13
"boAt Wave Call Smart Watch with Bluetooth Calling, 1.69” HD Display with 550 NITS & 70% Color Gamut, 150+ Watch Faces, Multi-Sport Modes,HR,SpO2, IP68(Active Black)",1599,3.8,21641,In stock,False,https://www.amazon.in/boAt-Wave-Call-Dedicated-Multi-Sport/dp/B0B5B6PQCT/ref=sr_1_6?keywords=Electronics&qid=1692376607&sr=8-6,https://m.media-amazon.com/images/I/41RulQ1ZXbL._SX300_SY300_QL70_ML2_.jpg,21641,4061,15293,2482,6349,1579,48,22,10,5,15
"GLUN Bolt Electronic Portable Fishing Hook Type Digital LED Screen Luggage Weighing Scale, 50 kg/110 Lb (Black)",272,4.0,21060,In stock,True,https://www.amazon.in/GLUN-Digital-Electronic-Portable-Weighing/dp/B07PK41FL4/ref=sr_1_7?keywords=Electronics&qid=1692376607&sr=8-7,https://m.media-amazon.com/images/I/41BOHB-1nKL._SX342_SY445_QL70_ML2_.jpg,21060,2714,15268,1612,5792,1102,46,27,13,4,9
Electronics: Fundamentals and Applications (TWO COLOUR EDITION),325,3.6,3,In stock,False,https://aax-eu.amazon.in/x/c/RG58CtocR9LEmGzTfnH912UAAAGKCYGrnAMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICA4YRwr/https://www.amazon.in/Electronics-Fundamentals-Applications-TWO-COLOUR/dp/9393159858/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Electronics&keywords=Electronics&pd_rd_i=9393159858&pd_rd_r=ac0c91f7-6f7f-4f54-af1f-798290b3c34e&pd_rd_w=JnFIp&pd_rd_wg=XOINP&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=7636R2QZ5WRGCDFRGJP1&qid=1692376607&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,,0,0,0,0,0,0,0,63,37,0,0
Electronics: Fundamentals and Applications (TWO COLOUR EDITION),325,3.6,3,In stock,False,https://aax-eu.amazon.in/x/c/RG58CtocR9LEmGzTfnH912UAAAGKCYGrnAMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICA4YRwr/https://www.amazon.in/Electronics-Fundamentals-Applications-TWO-COLOUR/dp/9393159858/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Electronics&keywords=Electronics&pd_rd_i=9393159858&pd_rd_r=ac0c91f7-6f7f-4f54-af1f-798290b3c34e&pd_rd_w=JnFIp&pd_rd_wg=XOINP&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=7636R2QZ5WRGCDFRGJP1&qid=1692376607&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,,0,0,0,0,0,0,0,63,37,0,0
"Monopoly Super Electronic Banking Board Game, Electronic Banking Unit, Choose Your Rewards, Cashless Gameplay Tap Technology, for Ages 8 and Up, Multicolor",2529,4.3,5209,In stock,False,https://www.amazon.in/MONOPOLY-Ultimate-Electronic-Cashless-Technology/dp/B08H2JF3YX/ref=sr_1_8?keywords=Electronics&qid=1692376607&sr=8-8,https://m.media-amazon.com/images/I/51+oOrXh0FL._SX300_SY300_.jpg,5209,891,4400,720,809,171,64,19,7,3,7
Sounce Shutter Remote Control with Bluetooth Wireless Technology - Create Amazing Photos and Videos Hands-Free - Works with Most Smartphones and Tablets (iOS and Android) (Black),169,4.3,4391,In stock,True,https://www.amazon.in/Sounce-Bluetooth-Control-Compatible-BTCTROL/dp/B0922XL7SH/ref=sr_1_9?keywords=Electronics&qid=1692376607&sr=8-9,https://m.media-amazon.com/images/I/416D2INKqgL._SX300_SY300_QL70_ML2_.jpg,4391,1112,3732,1013,659,99,62,22,9,2,5
"Oral B Cross Action Battery Powered Electric Toothbrush for adults, Pack of 1",560,4.2,26403,In stock,True,https://www.amazon.in/Oral-Crossaction-Battery-Powered-Toothbrush/dp/B018IE1XSM/ref=sr_1_10?keywords=Electronics&qid=1692376607&sr=8-10,https://m.media-amazon.com/images/I/41lL7f3RerL._SX300_SY300_QL70_ML2_.jpg,26403,3705,20763,2709,5639,996,53,25,12,4,6
Robotbanao Electronic Components Kit-DIY Projects-Small Prototyping Projects-For Science Projects-For Educational Purposes-For Learning-58 Components,863,3.9,2112,In stock,True,https://www.amazon.in/Robotbanao-Projects-Small-Prototyping-Educational-Learning-58/dp/B08MKYPJ2G/ref=sr_1_11?keywords=Electronics&qid=1692376607&sr=8-11,https://m.media-amazon.com/images/I/51+znN0DJ7L._SX342_SY445_.jpg,2112,343,1532,202,582,141,49,21,13,6,12
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Headphones with 42H Playtime,Low Latency Mode for Gaming, ENx Tech, IWP, IPX4 Water Resistance, Smooth Touch Controls(Cyan Cider)",1299,3.8,203115,In stock,True,https://www.amazon.in/Airdopes-141-Bluetooth-Wireless-Playtime/dp/B09N3XMZ5F/ref=sr_1_12?keywords=Electronics&qid=1692376607&sr=8-12,https://m.media-amazon.com/images/I/41zr73E-+9L._SY300_SX300_.jpg,203115,32167,144380,16136,58736,16031,47,23,10,5,15
