title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Luscious Black)",1499,4.1,118583,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mzg0NTg5NTA5MDU3NjI2OjE2OTI1NDU5NDY6c3BfYXRmOjMwMDAyNTc1OTQzODIzMjo6MDo6&url=%2FRockerz-450-Wireless-Bluetooth-Headphone%2Fdp%2FB07PR1CL3S%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DOn%2Bear%2BHeadphones%26qid%3D1692545946%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/315vj6oj-FL._SX300_SY300_QL70_ML2_.jpg,118583,20122,92606,12955,25977,7167,54,24,9,4,9
Lenovo 100 Wired On Ear Headphones with Mic (Cloud Grey),1599,3.7,939,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mzg0NTg5NTA5MDU3NjI2OjE2OTI1NDU5NDY6c3BfYXRmOjMwMDAyNTQ4MzgyODAzMjo6MDo6&url=%2FLenovo-Stereo-Analog-Headset-Drivers%2Fdp%2FB08R7R9DKF%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DOn%2Bear%2BHeadphones%26qid%3D1692545946%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/31Rk4LUJ3EL._SX300_SY300_QL70_ML2_.jpg,939,159,597,67,342,92,43,19,14,8,16
"Infinity - JBL Tranz 710, 72 Hrs Playtime with Quick Charge, Wireless On Ear Headphone with Mic, Deep Bass, Dual Equalizer, Bluetooth 5.0 with Voice Assistant Support (Black)",1299,4.2,25061,In stock,True,https://www.amazon.in/Infinity-Headphone-Equalizer-Bluetooth-Assistant/dp/B0C93KSD6B/ref=sr_1_3?keywords=On+ear+Headphones&qid=1692545946&sr=8-3,https://m.media-amazon.com/images/I/41-U6BdQrcL._SX300_SY300_QL70_ML2_.jpg,25061,6895,20118,5092,4943,1803,54,26,10,4,7
"Sony WH-CH520, Wireless On-Ear Bluetooth Headphones with Mic, Upto 50 Hours Playtime, DSEE Upscale, Multipoint Connectivity/Dual Pairing,Voice Assistant App Support for Mobile Phones (Blue)",4999,4.3,2687,In stock,False,https://www.amazon.in/Sony-Bluetooth-Headphones-Multipoint-Connectivity/dp/B0BS1RT9S2/ref=sr_1_4?keywords=On+ear+Headphones&qid=1692545946&sr=8-4,https://m.media-amazon.com/images/I/31QB73-5IEL._SX300_SY300_QL70_ML2_.jpg,2687,572,2419,473,269,99,59,24,6,3,8
"Sony WH-CH520, Wireless On-Ear Bluetooth Headphones with Mic, Upto 50 Hours Playtime, DSEE Upscale, Multipoint Connectivity/Dual Pairing,Voice Assistant App Support for Mobile Phones (Black)",4490,4.3,2687,In stock,True,https://www.amazon.in/Sony-Bluetooth-Headphones-Multipoint-Connectivity/dp/B0BS1PRC4L/ref=sr_1_5?keywords=On+ear+Headphones&qid=1692545946&sr=8-5,https://m.media-amazon.com/images/I/318RvHnDwHL._SX300_SY300_QL70_ML2_.jpg,2687,572,2419,473,269,99,59,24,6,3,8
Logitech H111 Wired On Ear Headphones With Mic Black,745,4.0,15385,In stock,False,https://www.amazon.in/Logitech-H111-Stero-Headset-Black/dp/B00Y4ORQ46/ref=sr_1_6?keywords=On+ear+Headphones&qid=1692545946&sr=8-6,https://m.media-amazon.com/images/I/31puHGasbOL._SX300_SY300_QL70_ML2_.jpg,15385,2384,11289,1362,4096,1022,46,27,13,5,9
"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Luscious Black)",1499,4.1,118583,In stock,True,https://www.amazon.in/Rockerz-450-Wireless-Bluetooth-Headphone/dp/B07PR1CL3S/ref=sr_1_7?keywords=On+ear+Headphones&qid=1692545946&sr=8-7,https://m.media-amazon.com/images/I/315vj6oj-FL._SX300_SY300_QL70_ML2_.jpg,118583,20122,92606,12955,25977,7167,54,24,9,4,9
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Black)",2899,3.8,33478,In stock,False,https://www.amazon.in/JBL-Wireless-Headphones-Bluetooth-Assistant/dp/B08QTYYNDN/ref=sr_1_8?keywords=On+ear+Headphones&qid=1692545946&sr=8-8,https://m.media-amazon.com/images/I/31SNd2tQupS._SX300_SY300_QL70_ML2_.jpg,33478,7424,30085,6065,3365,1359,46,22,12,5,15
"Sony WH-CH520, Wireless On-Ear Bluetooth Headphones with Mic, Upto 50 Hours Playtime, DSEE Upscale, Multipoint Connectivity/Dual Pairing,Voice Assistant App Support for Mobile Phones (Beige)",4490,4.3,2687,In stock,True,https://www.amazon.in/Sony-WH-CH520-Headphones-Multipoint-Connectivity/dp/B0BZPK3XFQ/ref=sr_1_9?keywords=On+ear+Headphones&qid=1692545946&sr=8-9,https://m.media-amazon.com/images/I/31eo70r2NWL._SX300_SY300_QL70_ML2_.jpg,2687,572,2419,473,269,99,59,24,6,3,8
"Infinity - JBL Glide 500, 20 Hrs Playtime with Quick Charge, Wireless On Ear Headphone with Mic, Deep Bass, Dual Equalizer, Bluetooth 5.0 with Voice Assistant Support (Blue)",1599,4.2,25061,In stock,True,https://www.amazon.in/Infinity-Glide-500-Wireless-Headphones/dp/B07W6NDVSR/ref=sr_1_10?keywords=On+ear+Headphones&qid=1692545946&sr=8-10,https://m.media-amazon.com/images/I/41ijB+fdVkL._SY300_SX300_.jpg,25061,6895,20118,5092,4943,1803,54,26,10,4,7
