title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
"Morivahomes Multipurpose Wall Mount Bathroom Shelf And Rack For Home And Kitchen. Self Adhesive Sticker Support Without Drilling. (4 Bathroom Shelf, Chrome,Acrylic)",284,3.8,4581,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDI2MDI1MzI2MTU4NDc1OjE2OTIzNzcwMjM6c3BfYXRmOjMwMDAzMjQ1MjgyNjEzMjo6MDo6&url=%2FMorivaHomes-Multipurpose-Bathroom-Kitchen-Drilling%2Fdp%2FB096QVKJ18%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DHomes%2Band%2BKitchen%26qid%3D1692377023%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/419O5UWCXFS._SY300_SX300_QL70_ML2_.jpg,4581,484,3062,259,1519,225,41,26,16,7,10
"Ishro Home Premium Kitchen Mats for Floor, Waterproof and Anti-Skid (18 x 55 + 18 x28 inches, Geometric)",749,4.3,44,In stock,False,https://www.amazon.in/Ishro-Home-Waterproof-Anti-Skid-Geometric/dp/B0C7L1L6GX/ref=sr_1_2?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-2,https://m.media-amazon.com/images/I/51B+KMJF8WL._SY300_SX300_.jpg,44,23,25,14,19,9,38,17,10,14,21
"MR HOMES ABS Plastic Kitchen Bathroom Wall Holder Storage Rack, Corner Shelf (White Colour only) -Combo of 6 Pieces Plastic Wall Shelf (3 Bathroom Shelves + 3 Corner Triangle Shelves)",449,4.3,8,In stock,False,https://www.amazon.in/MR-HOMES-Plastic-Bathroom-Triangle/dp/B0BWYNWTBR/ref=sr_1_3?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-3,https://m.media-amazon.com/images/I/31rZju6NYSL._QL70_ML2_.jpg,8,6,4,2,4,4,33,14,14,15,25
SITTELLA Pack of 2 Bathroom Door Mat | Anti Slip Floor Mat for Home and Kitchen | Anti Skid Water Soaking Bathroom Mat | Super Water Absorbent Rubber Foot Mat (40 x 60 cm) Color May Vary,629,3.9,809,In stock,False,https://www.amazon.in/SITTELLA-Bathroom-Kitchen-Soaking-Absorbent/dp/B0B57H8GJY/ref=sr_1_4?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-4,https://m.media-amazon.com/images/I/51qwYk2XBLL._SX300_SY300_QL70_ML2_.jpg,809,186,593,149,216,37,51,20,14,4,12
"Wiper - UCRAVO 360° Rotatable Cleaning Glass Wiper Window Cleaner, Silicone Squeegee for Bathroom, Windows, and Car Glass, Window Squeegee, Mirror Scraper Brush with Soft Rubber (Multicolor)",198,3.7,201,In stock,False,https://aax-eu.amazon.in/x/c/RIEr2TSfBWmu4If3_6PjDYwAAAGKCYgCigMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAw71v-/https://www.amazon.in/Wiper-Rotatable-Cleaning-Silicone-Multicolor/dp/B0B5HFFJ4Y/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Homes+and+Kitchen&keywords=Homes+and+Kitchen&pd_rd_i=B0B5HFFJ4Y&pd_rd_r=157a6682-15f2-49cd-8201-9e8bcac05f64&pd_rd_w=bqSEG&pd_rd_wg=5he7C&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=XSWQ0275G3YTRCEK8Y2G&qid=1692377023&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/217ZRoFGnrL._SY445_SX342_QL70_ML2_.jpg,201,60,132,42,69,18,48,16,14,6,16
"Wiper - UCRAVO 360° Rotatable Cleaning Glass Wiper Window Cleaner, Silicone Squeegee for Bathroom, Windows, and Car Glass, Window Squeegee, Mirror Scraper Brush with Soft Rubber (Multicolor)",198,3.7,201,In stock,False,https://aax-eu.amazon.in/x/c/RIEr2TSfBWmu4If3_6PjDYwAAAGKCYgCigMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAw71v-/https://www.amazon.in/Wiper-Rotatable-Cleaning-Silicone-Multicolor/dp/B0B5HFFJ4Y/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Homes+and+Kitchen&keywords=Homes+and+Kitchen&pd_rd_i=B0B5HFFJ4Y&pd_rd_r=157a6682-15f2-49cd-8201-9e8bcac05f64&pd_rd_w=bqSEG&pd_rd_wg=5he7C&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=XSWQ0275G3YTRCEK8Y2G&qid=1692377023&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/217ZRoFGnrL._SY445_SX342_QL70_ML2_.jpg,201,60,132,42,69,18,48,16,14,6,16
Tidy Home Cellulose Cleaning Sponge for Home & Kitchen - Pack of 10 Wipes (Multicolour),218,4.1,958,In stock,True,https://www.amazon.in/Black-Olive-Cellulose-Cleaning-Multi-colour/dp/B0BHNY4GGT/ref=sr_1_5?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-5,https://m.media-amazon.com/images/I/51X1K8dBiAL._SY300_SX300_QL70_ML2_.jpg,958,110,739,72,219,38,50,27,12,4,7
"HomeBasics by Home Puff 725ml Fruit and Vegetable Chopper for Kitchen, 3 Sharp Stainless Steel Blades, Unbreakable Food-Grade Plastic, Anti-Slip Base, Easy to use Vegetable Cutter, Made in India, with Warranty",299,3.9,1237,In stock,False,https://www.amazon.in/Home-Puff-HP-MED-CHPR-Vegetable-Stainless/dp/B0757LRVP7/ref=sr_1_6?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-6,https://m.media-amazon.com/images/I/3152IdhIl2L._SX300_SY300_QL70_ML2_.jpg,1237,458,950,346,287,112,48,24,11,6,11
"TAZLYN Dry Fruits Cutter Slicer Pack of 1 Smart Kitchen Gadgets, Dry Fruit Chopper, Badam Cutter Machine Hand Nuts Cutter Chopper Slicer for Kitchen, Items for Gift, Home Gadgets, Plastic",199,3.8,23,In stock,False,https://www.amazon.in/TAZLYN-Kitchen-Gadgets-Chopper-Machine/dp/B0BXBHXL13/ref=sr_1_7?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-7,https://m.media-amazon.com/images/I/51xcYnHg5WL._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,53,18,6,6,17
"HomeBasics by Home Puff Stainless Steel Cheese Grater & Lemon Zester for Kitchen- Cheese, Lemon, Ginger, Garlic, Chocolate, Vegetables & Fruits Shredder with Protective Cover, Adrak Grater, Dishwasher Safe Flat",79,4.2,105,In stock,True,https://www.amazon.in/HomeBasics-Home-Puff-Vegetables-Protective/dp/B0BQM51BLJ/ref=sr_1_8?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-8,https://m.media-amazon.com/images/I/41F62AsvK3L._SX300_SY300_QL70_ML2_.jpg,105,17,86,10,19,7,48,33,13,1,5
