title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
ReDesign Apparels Men's Skinny Fit Leggings,999,4.4,1080,Only 2 left in stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzUyMjk0Njk4NTQzOTU2OjE2OTIzNzgyNjQ6c3BfYXRmOjIwMDE1Njg0OTY4OTA1OjowOjo&url=%2FReDesign-Apparels-Nylon-Compression-Tights%2Fdp%2FB07G87MBH9%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DMen%2BApparels%26qid%3D1692378264%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/31+VZkkuJYL._SY300_SX300_.jpg,1080,178,885,150,195,28,57,23,8,3,8
Urbano Fashion Men's Black Slim Fit Jeans Stretchable,599,3.8,589,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzUyMjk0Njk4NTQzOTU2OjE2OTIzNzgyNjQ6c3BfYXRmOjIwMTU1MTQ4NzEzNDk4OjowOjo&url=%2FNeostreak-Mens-Jeans-neoepsjean-bla-Black_40%2Fdp%2FB07L6YX5PN%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DMen%2BApparels%26qid%3D1692378264%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/31n2xdTdMCL._SX342_SY445_.jpg,589,54,411,28,178,26,43,26,14,5,12
"Starton Apparel Round Neck T-Shirt for Men - Half Sleeves, Cotton Combed, Olive Black, 3D T Shirts for Men, Medium (STM-001)",464,4.5,2,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzUyMjk0Njk4NTQzOTU2OjE2OTIzNzgyNjQ6c3BfYXRmOjMwMDAxNjU3OTYyMzIzMjo6MDo6&url=%2FStarton-Apparel-Round-Neck-T-Shirt%2Fdp%2FB0BNF6CRV5%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DMen%2BApparels%26qid%3D1692378264%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/418vaYogjTL._SY445_SX342_.jpg,0,0,0,0,0,0,50,50,0,0,0
Neostreak Men's Slim Fit Stretchable Jeans,619,3.7,8504,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzUyMjk0Njk4NTQzOTU2OjE2OTIzNzgyNjQ6c3BfYXRmOjIwMTU1MTQ4NzEzNTk4OjowOjo&url=%2FNeostreak-Mens-Jeans-neohps-lgrey-40_Light-Grey_40W%2Fdp%2FB07MQ8NKL6%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DMen%2BApparels%26qid%3D1692378264%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/316Ila47CFL._SX342_SY445_.jpg,8504,1003,5630,631,2874,372,41,24,16,7,13
"Polyester Men's Joggers Regular Fit Stretchable Gym, Sports & Yoga Wear | Joggers for Men | Track Pant for Men",299,3.1,65,In stock,False,https://www.amazon.in/Polyester-Jogger-Regular-Stretchable-Joggers/dp/B0BN88GG4F/ref=sr_1_5?keywords=Men+Apparels&qid=1692378264&sr=8-5,https://m.media-amazon.com/images/I/31n7usZKXuL._SX342_SY445_.jpg,65,6,32,2,33,4,29,19,14,10,28
"XYXX Men's Super Combed Cotton Checkered Checkmate Pyjamas Elasticated Waist, Drawstring | Loungewear for Men",699,4.4,116,In stock,False,https://www.amazon.in/XYXX-Checkered-Elasticated-Drawstring-Loungewear/dp/B0BSL4YVNX/ref=sr_1_6?keywords=Men+Apparels&qid=1692378264&sr=8-6,https://m.media-amazon.com/images/I/517FA2eEAlL._SX342_SY445_QL70_ML2_.jpg,116,71,103,66,13,5,67,18,7,4,4
Lux Cottswool Men's Cotton Thermal Set,811,4.1,11814,In stock,False,https://www.amazon.in/Lux-Cottswool-Cotton-Thermal-COTT_Blue_FS_RN_TRO_Set_90/dp/B019B376GW/ref=sr_1_7?keywords=Men+Apparels&qid=1692378264&sr=8-7,https://m.media-amazon.com/images/I/31zJHnN48KL._SY445_SX342_.jpg,11814,1962,8874,1359,2940,603,51,25,11,4,8
HIDE & SKIN Top Grain Genuine Leather Handmade | Cowboy Belt for Men | 46 inches length | Adjustable size fits Waist 28-40 inches,583,4.2,1226,In stock,True,https://aax-eu.amazon.in/x/c/RDxKROwNwoHuYnhOnQ4QBSkAAAGKCZrzQAMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAVpMk-/https://www.amazon.in/HIDE-SKIN-Genuine-Handmade-Adjustable/dp/B0B5MXGXVJ/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Men+Apparels&keywords=Men+Apparels&pd_rd_i=B0B5MXGXVJ&pd_rd_r=679ce7b8-6d1f-48c2-aa46-ec133847e455&pd_rd_w=1dj5M&pd_rd_wg=M4bRJ&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=44S2VZ19W3EQDTTVM2KD&qid=1692378264&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/31bqk8iVoOL._SX342_SY445_.jpg,1226,276,1016,241,210,35,57,26,9,3,6
HIDE & SKIN Top Grain Genuine Leather Handmade | Cowboy Belt for Men | 46 inches length | Adjustable size fits Waist 28-40 inches,583,4.2,1226,In stock,True,https://aax-eu.amazon.in/x/c/RDxKROwNwoHuYnhOnQ4QBSkAAAGKCZrzQAMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAVpMk-/https://www.amazon.in/HIDE-SKIN-Genuine-Handmade-Adjustable/dp/B0B5MXGXVJ/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Men+Apparels&keywords=Men+Apparels&pd_rd_i=B0B5MXGXVJ&pd_rd_r=679ce7b8-6d1f-48c2-aa46-ec133847e455&pd_rd_w=1dj5M&pd_rd_wg=M4bRJ&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=44S2VZ19W3EQDTTVM2KD&qid=1692378264&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/31bqk8iVoOL._SX342_SY445_.jpg,1226,276,1016,241,210,35,57,26,9,3,6
Unbeatable Polyester Spandex Men's Sports Running Set Compression Shirt + Pants Skin-Tight Long Sleeves Quick Dry Fitness Tracksuit Gym Yoga Suits,498,3.6,674,In stock,True,https://www.amazon.in/Unbeatable-Polyester-Compression-Skin-Tight-Tracksuit/dp/B09ZLBKR1C/ref=sr_1_8?keywords=Men+Apparels&qid=1692378264&sr=8-8,https://m.media-amazon.com/images/I/41ySXF78faL._SY445_SX342_QL70_ML2_.jpg,674,77,422,41,252,36,41,21,14,5,18
