title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
"GEOCARTER Multi-Purpose Wall mount Mobile holder accessories Mobile Phone Charging Stand | Self Adhesive Smartphone AC TV Remote holder stand Organizer | Pen pencils,KeyChain Hanger (White, Plastic)",399,3.8,158,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzQ2MzQ3MzY5NjgyNTk0OjE2OTIzNzc0OTM6c3BfYXRmOjMwMDAzNDA0NzAzMDMzMjo6MDo6&url=%2FGEOCARTER-Multi-Purpose-Accessories-Smartphone-Organizer%2Fdp%2FB0BBT3H1ML%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DMobile%2BAccessories%26qid%3D1692377493%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41imG9LayuL._SY300_SX300_QL70_ML2_.jpg,158,44,109,22,49,22,40,28,12,8,13
"JCBL Accessories Choe-tech 130W (USB-C (100W)+USB-C (30W)+USB-A (30W)) Metallic Body Mobile Car Charger, TC0011",5499,0.0,0,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzQ2MzQ3MzY5NjgyNTk0OjE2OTIzNzc0OTM6c3BfYXRmOjMwMDAyNTIzNTI3OTMzMjo6MDo6&url=%2FJCBL-Accessories-Choe-tech-Metallic-Charger%2Fdp%2FB0CCVVBY6Z%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DMobile%2BAccessories%26qid%3D1692377493%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/31GQSQ0bO+L._SY300_SX300_.jpg,0,0,0,0,0,0,0,0,0,0,0
ELV Mobile Phone Mount Tabletop Holder for Phones and Tablets - Black,84,4.3,5623,In stock,True,https://www.amazon.in/Mobile-Phone-Holder-Phones-Tablets/dp/B0926V9CTV/ref=sr_1_3?keywords=Mobile+Accessories&qid=1692377493&sr=8-3,https://m.media-amazon.com/images/I/318Pgjl1wqL._SX300_SY300_QL70_ML2_.jpg,5623,632,4734,547,889,85,61,23,9,3,4
"LAPSTER 12pcs Spiral Cable Protectors for Charger, Wires, Data Charger Cable Protector for Computers, Cell Phones etc.(Grey)",79,4.1,1568,In stock,True,https://www.amazon.in/LAPSTER-Protectors-Charger-Protector-Computers/dp/B0BBW521YC/ref=sr_1_4?keywords=Mobile+Accessories&qid=1692377493&sr=8-4,https://m.media-amazon.com/images/I/41WYWN1pdvL._SX300_SY300_QL70_ML2_.jpg,1568,218,1196,160,372,58,49,27,13,5,6
Sounce Spiral Charger Cable Protector Data Cable Saver Charging Cord Protective Cable Cover Headphone MacBook Laptop Earphone Cell Phone Set of 3 (Cable Protector (12 Units)),59,4.5,7354,In stock,False,https://www.amazon.in/Sounce-Charger-Protector-Charging-Protective/dp/B085HY1DGR/ref=sr_1_5?keywords=Mobile+Accessories&qid=1692377493&sr=8-5,https://m.media-amazon.com/images/I/41nf9n-v3pL._SX300_SY300_QL70_ML2_.jpg,7354,3812,6263,3566,1093,246,70,16,7,3,4
AMBLIC Professional Selfie Stick for Mobile Phone 3-in-1 Multifunctional Expendable Stick Portable Tripod Stand for Travelling/YouTube Vlog Video/Travelling/Online Class Office for All Smartphones,499,3.3,25,In stock,False,https://aax-eu.amazon.in/x/c/REb6GbCKvGGxvrCz6G9RS4oAAAGKCY8wdQMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICCX8Rtj/https://www.amazon.in/AMBLIC-Professional-Multifunctional-Expendable-Smartphones/dp/B09JT2YQ71/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Mobile+Accessories&keywords=Mobile+Accessories&pd_rd_i=B09JT2YQ71&pd_rd_r=3fd54a38-69c2-48ce-91ba-5de867fac893&pd_rd_w=CoYtg&pd_rd_wg=bHJme&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=P1JY90FAN4C0N329ABJ4&qid=1692377493&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/41xA16qI71L._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,27,29,9,12,23
AMBLIC Professional Selfie Stick for Mobile Phone 3-in-1 Multifunctional Expendable Stick Portable Tripod Stand for Travelling/YouTube Vlog Video/Travelling/Online Class Office for All Smartphones,499,4.5,25,In stock,False,https://aax-eu.amazon.in/x/c/REb6GbCKvGGxvrCz6G9RS4oAAAGKCY8wdQMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICCX8Rtj/https://www.amazon.in/AMBLIC-Professional-Multifunctional-Expendable-Smartphones/dp/B09JT2YQ71/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Mobile+Accessories&keywords=Mobile+Accessories&pd_rd_i=B09JT2YQ71&pd_rd_r=3fd54a38-69c2-48ce-91ba-5de867fac893&pd_rd_w=CoYtg&pd_rd_wg=bHJme&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=P1JY90FAN4C0N329ABJ4&qid=1692377493&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/41xA16qI71L._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,27,29,9,12,23
"LIRAMARK Phone Kickstand/Phone Stand/Mobile Holder, Vertical and Horizontal Stand, Adjustable Angle, Compatible with iPhone & Any Other Cellphone (Pack of 1)",99,2.9,450,In stock,False,https://www.amazon.in/LIRAMARK-Kickstand-Horizontal-Adjustable-Compatible/dp/B0BP841MJG/ref=sr_1_6?keywords=Mobile+Accessories&qid=1692377493&sr=8-6,https://m.media-amazon.com/images/I/41CvsxZGKpL._SX300_SY300_QL70_ML2_.jpg,450,105,195,31,255,74,28,14,15,9,34
Sounce Waterproof New Bike Phone Mount Anti Shake and Stable 360‚° Rotation Bike Bicycles Accessories for Any Smartphone GPS Other Devices Between 3.5 and 6.5 inches,199,4.1,682,In stock,False,https://www.amazon.in/Sounce-Waterproof-Rotation-Accessories-Smartphone/dp/B0BR3TF46R/ref=sr_1_7?keywords=Mobile+Accessories&qid=1692377493&sr=8-7,https://m.media-amazon.com/images/I/41ozmbqLd+L._SY300_SX300_.jpg,682,451,522,390,160,61,60,17,9,4,10
"AUTOGUYS B29 Mobile Holder for Bikes or Bike Mobile Holder for Maps and GPS Navigation, one Click Locking, Firm Gripping, Anti Shake and Stable Cradle Clamp 360° Rotation Phone Mount (Random Color)",250,4.5,48,In stock,False,https://www.amazon.in/AUTOGUYS-Navigation-Locking-Gripping-Rotation/dp/B0C5TTJ2J4/ref=sr_1_8?keywords=Mobile+Accessories&qid=1692377493&sr=8-8,https://m.media-amazon.com/images/I/41X1+U+4+uL._SX300_SY300_.jpg,0,0,0,0,0,0,81,6,0,6,6
