title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
"Samsung Galaxy M14 5G (ICY Silver, 6GB, 128GB Storage) | 50MP Triple Cam | 6000 mAh Battery | 5nm Octa-Core Processor | 12GB RAM with RAM Plus | Android 13 | Without Charger",15990,3.9,6273,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDk2MzMzOTQ0MjA0MjA3OjE2OTIzNzk5NDg6c3BfYXRmOjIwMTQ4MDk4MTI1MDk4OjowOjo&url=%2FSamsung-Storage-Battery-Octa-Core-Processor%2Fdp%2FB0BZCR6TNK%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dsmartphones%26qid%3D1692379948%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41btixsj7uL._SX300_SY300_QL70_ML2_.jpg,6273,1474,4643,785,1631,689,47,27,9,4,13
"realme narzo 60 Pro (Mars Orange,8GB+128GB) MediaTek Dimensity 7050 | 120 Hz Super Amoled Curved Display | 100 MP OIS Camera",23999,4.0,385,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDk2MzMzOTQ0MjA0MjA3OjE2OTIzNzk5NDg6c3BfYXRmOjMwMDAwOTM0MTgzNzgzMjo6MDo6&url=%2Frealme-Orange-MediaTek-Dimensity-Curved-Display%2Fdp%2FB0C788T92F%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dsmartphones%26qid%3D1692379948%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41WQ6Iy2ESL._SX300_SY300_QL70_ML2_.jpg,385,192,294,132,91,60,50,25,7,4,13
"Redmi A2 (Aqua Blue, 2GB RAM, 32GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]",6499,3.8,2305,In stock,False,https://www.amazon.in/Redmi-Storage-Powerful-Processor-Warranty/dp/B0C46FN82F/ref=sr_1_3?keywords=smartphones&qid=1692379948&sr=8-3,https://m.media-amazon.com/images/I/41LRhCMbApL._SX300_SY300_QL70_ML2_.jpg,2305,594,1579,338,727,256,46,22,12,4,16
"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",10999,4.1,25874,In stock,False,https://www.amazon.in/Samsung-Midnight-Storage-6000mAh-Battery/dp/B0B4F52B5X/ref=sr_1_4?keywords=smartphones&qid=1692379948&sr=8-4,https://m.media-amazon.com/images/I/41Vj+8XWIQL._SY300_SX300_.jpg,25874,2854,20185,1664,5690,1190,52,26,10,3,9
"Redmi A2 (Sea Green, 2GB RAM, 32GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]",6499,3.8,2305,In stock,False,https://www.amazon.in/Redmi-Storage-Powerful-Processor-Warranty/dp/B0C46H59YD/ref=sr_1_5?keywords=smartphones&qid=1692379948&sr=8-5,https://m.media-amazon.com/images/I/41zxerd4OJL._SX300_SY300_QL70_ML2_.jpg,2305,594,1579,338,727,256,46,22,12,4,16
"Redmi A2 (Aqua Blue, 4GB RAM, 64GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]",7299,3.8,2305,In stock,False,https://www.amazon.in/Redmi-Storage-Powerful-Processor-Warranty/dp/B0C46GD5V7/ref=sr_1_6?keywords=smartphones&qid=1692379948&sr=8-6,https://m.media-amazon.com/images/I/41LRhCMbApL._SX300_SY300_QL70_ML2_.jpg,2305,594,1579,338,727,256,46,22,12,4,16
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",9499,3.9,9897,In stock,False,https://www.amazon.in/Samsung-Storage-MediaTek-Octa-core-Processor/dp/B0BMGG6NKT/ref=sr_1_7?keywords=smartphones&qid=1692379948&sr=8-7,https://m.media-amazon.com/images/I/41kg-+XWoxL._SY300_SX300_.jpg,9897,1621,7081,862,2816,759,46,25,11,5,12
"Redmi 12C (Royal Blue, 4GB RAM, 128GB Storage)",9299,3.9,5026,In stock,False,https://www.amazon.in/Redmi-Royal-Blue-128GB-Storage/dp/B0C74L3BH9/ref=sr_1_8?keywords=smartphones&qid=1692379948&sr=8-8,https://m.media-amazon.com/images/I/41Mb05aS5fL._SX300_SY300_QL70_ML2_.jpg,5026,966,3641,551,1385,415,49,23,10,4,14
"Samsung Galaxy S20 FE 5G (Cloud Mint, 8GB RAM, 128GB Storage)",34999,4.2,32886,In stock,True,https://www.amazon.in/Samsung-Galaxy-Cloud-128GB-Storage/dp/B08VB2MRF8/ref=sr_1_9?keywords=smartphones&qid=1692379948&sr=8-9,https://m.media-amazon.com/images/I/41CkKbseMGL._SX300_SY300_QL70_ML2_.jpg,32886,6768,27487,4436,5400,2332,58,24,6,2,9
"Redmi 12C (Lavender Purple, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery",8499,3.9,5026,In stock,False,https://www.amazon.in/Redmi-Lavender-Storage-Performance-Mediatek/dp/B0BYN5555J/ref=sr_1_10?keywords=smartphones&qid=1692379948&sr=8-10,https://m.media-amazon.com/images/I/41lvprpWDjL._SX300_SY300_QL70_ML2_.jpg,5026,966,3641,551,1385,415,49,23,10,4,14
