title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
ZUDO TOYS Montessori Slide Puzzles - Brain Game for Kids - 3 4 5 Year Baby Activity Toys - Early Development and Learning Kids Toys - Hand Eye Coordination Toys - ISI Approved,330,4.1,351,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTM4MDE4MTM2MzgyMjk1OjE2OTIzODAzOTU6c3BfYXRmOjIwMTA1ODkxOTQ3NTk4OjowOjo&url=%2FZUDO-TOYS-Montessori-Slide-Puzzles%2Fdp%2FB0B1BRJSS4%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DToys%26qid%3D1692380395%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41EyipGa12L._SY300_SX300_QL70_ML2_.jpg,351,46,267,36,84,10,51,25,14,5,6
ZUDO Shape Sorting Cube with 18 Shape and Different Color - Kids Activity Toys - Learning and Educational Toys with Multicolour - (BIS Approved),280,4.2,699,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTM4MDE4MTM2MzgyMjk1OjE2OTIzODAzOTU6c3BfYXRmOjIwMTA1ODcwOTU0NTk4OjowOjo&url=%2FZUDO-Shape-Sorting-Different-Color%2Fdp%2FB09T754LSR%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DToys%26qid%3D1692380395%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41rwohk4IRL._SY300_SX300_QL70_ML2_.jpg,699,69,551,47,148,22,54,25,11,3,7
"Pappy - The Happy Pineapple - Early Development Activity Set for Boys and Girls Ages 3+ Years, Toddler Learning Toy, Learn About, Expressions, Emotions & Develop Fine Motor Skills, 30 Pieces Toy Set",999,5.0,7,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTM4MDE4MTM2MzgyMjk1OjE2OTIzODAzOTU6c3BfYXRmOjMwMDAzNDYwMzgwNzkzMjo6MDo6&url=%2FPappy-Pineapple-Development-Activity-Expressions%2Fdp%2FB0C9DQ4QCC%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DToys%26qid%3D1692380395%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51qvm-dhsmL._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,100,0,0,0,0
"LEGO Ideas │ Disney Winnie The Pooh 21326 Building Kit (1,265 Pieces)",10290,4.7,414,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTM4MDE4MTM2MzgyMjk1OjE2OTIzODAzOTU6c3BfYXRmOjMwMDAxMjMxOTM4NTIzMjo6MDo6&url=%2FLEGO-Disney-Winnie-21326-Building%2Fdp%2FB091FVCG7S%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DToys%26qid%3D1692380395%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51SmWVZgsNL._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,87,6,3,1,3
"Cosmobaby Swimming Bath Toys for Toddlers 1-3, Floating Wind Up Toys for 1-5 Year Old Boy Girl, New Born Baby Bathtub Water Toys, Preschool Toddler Pool Toys (Turtle)(Pack of 1) Proudly Made in India",99,3.9,185,In stock,True,https://www.amazon.in/Cosmobaby-Swimming-Toddlers-Floating-Preschool/dp/B0BVBXCVFZ/ref=sr_1_5?keywords=Toys&qid=1692380395&sr=8-5,https://m.media-amazon.com/images/I/51g0CO6OUEL._SX300_SY300_QL70_ML2_.jpg,185,39,136,23,49,16,45,28,12,6,9
"MAMMOTH Electronic Dancing Cactus Toy with Lighting,Singing Cactus Recording and Repeat Your Words",339,3.7,343,In stock,True,https://www.amazon.in/Dancing-Electronic-Lighting-Recording-Mimicking/dp/B09GS5TQZ1/ref=sr_1_6?keywords=Toys&qid=1692380395&sr=8-6,https://m.media-amazon.com/images/I/51v1EoUFkQS._SY300_SX300_QL70_ML2_.jpg,343,64,217,28,126,36,46,17,14,5,18
"SUPER TOY 112 Talking Baby Flash Cards Educational Toys for 2 3 4 Years Old, Learning Resource Electronic Interactive Toys for 2-4 Year Old Boys Girls Toddlers Kids Birthday Gifts Ages 2 3 4 5",449,3.9,207,In stock,True,https://www.amazon.in/SUPER-TOY-Go-Kart-Building-Educational/dp/B0979C7BNJ/ref=sr_1_7?keywords=Toys&qid=1692380395&sr=8-7,https://m.media-amazon.com/images/I/51jI0THJnjL._SY300_SX300_QL70_ML2_.jpg,207,35,150,15,57,20,54,16,8,6,15
"Einstein Box Ultimate Science Kit for Boys and Girls Ages 8-12-14| Birthday Gifts Ideas for Kids| STEM Learning Toys for 8,9,10,11,12,13,14 Year Olds| 6-8 Experiments Each of Different Sciences",699,4.3,20555,In stock,True,https://aax-eu.amazon.in/x/c/RAhO74aw69okfNTx5PmpofgAAAGKCbt3OQMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICDOvkyt/https://www.amazon.in/Einstein-Box-Educational-Learning-Experiments/dp/B0855MGS99/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Toys&keywords=Toys&pd_rd_i=B0855MGS99&pd_rd_r=2e4e3154-f697-4684-8154-5bb728b623a3&pd_rd_w=n6BAo&pd_rd_wg=eBwxy&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=46CMPXFFH2B4FAKMRKE4&qid=1692380395&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/51O2RLVirrL._SX300_SY300_QL70_ML2_.jpg,20555,1690,17365,1424,3190,266,58,25,10,3,4
"Einstein Box Ultimate Science Kit for Boys and Girls Ages 8-12-14| Birthday Gifts Ideas for Kids| STEM Learning Toys for 8,9,10,11,12,13,14 Year Olds| 6-8 Experiments Each of Different Sciences",699,4.3,20555,In stock,True,https://aax-eu.amazon.in/x/c/RAhO74aw69okfNTx5PmpofgAAAGKCbt3OQMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICDOvkyt/https://www.amazon.in/Einstein-Box-Educational-Learning-Experiments/dp/B0855MGS99/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=Toys&keywords=Toys&pd_rd_i=B0855MGS99&pd_rd_r=2e4e3154-f697-4684-8154-5bb728b623a3&pd_rd_w=n6BAo&pd_rd_wg=eBwxy&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=46CMPXFFH2B4FAKMRKE4&qid=1692380395&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/51O2RLVirrL._SX300_SY300_QL70_ML2_.jpg,20555,1690,17365,1424,3190,266,58,25,10,3,4
"Babique Unicorn Teddy Bear Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 cm, Pink)",153,4.1,6521,In stock,False,https://www.amazon.in/Babique-Unicorn-Stuffed-Plush-Birthday/dp/B08LTGVND9/ref=sr_1_8?keywords=Toys&qid=1692380395&sr=8-8,https://m.media-amazon.com/images/I/31Hw6uGXtVL._SX300_SY300_QL70_ML2_.jpg,6521,577,5045,375,1476,202,54,23,11,5,7
