title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
Forever Tingle Black & Floral Print Maxi Dress with Full Flares,2299,0.0,0,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTQzMTM1NDAyODkyMTAwOjE2OTIzNzk2MjE6c3BfYXRmOjMwMDAzNjgxMTYxMTUzMjo6MDo6&url=%2Fdp%2FB0CFYBRT3Y%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DWomens%2BDresses%26qid%3D1692379621%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51H68aDpmwL._SX342_SY445_.jpg,0,0,0,0,0,0,0,0,0,0,0
RARE Women's Synthetic a-line Knee-Long Dress,719,4.0,8254,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTQzMTM1NDAyODkyMTAwOjE2OTIzNzk2MjE6c3BfYXRmOjIwMDMxNDEwNjc2NTA4OjowOjo&url=%2FWomens-Georgette-Line-length-EP3153_B_Green_XL%2Fdp%2FB07NJHL5NB%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DWomens%2BDresses%26qid%3D1692379621%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/418vMbPOvqL._SY445_SX342_.jpg,8254,905,6303,743,1951,162,48,27,12,5,9
RARE Women's Knee Length Casual Dress,539,3.9,2379,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTQzMTM1NDAyODkyMTAwOjE2OTIzNzk2MjE6c3BfYXRmOjIwMDMxNDEwNjc1MTA4OjowOjo&url=%2FRare-Synthetic-a-line-Dress-ep31080-m_Black_Medium%2Fdp%2FB07NTBVBGC%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DWomens%2BDresses%26qid%3D1692379621%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/31Ag8gYa9pL._SY445_SX342_.jpg,2379,225,1751,195,628,30,48,25,11,5,11
RARE Women Casual Dress,647,3.7,210,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTQzMTM1NDAyODkyMTAwOjE2OTIzNzk2MjE6c3BfYXRmOjIwMDMxNDEwNjc1OTA4OjowOjo&url=%2FRARE-Womens-Standard-Length-ep3149b-m_Beige_Medium_Beige_M%2Fdp%2FB07NT9MP4P%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DWomens%2BDresses%26qid%3D1692379621%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/417Aie+uGbL._SY445_SX342_.jpg,210,28,138,21,72,7,45,20,11,11,13
Janasya Women's Blue Cotton Woven Design Flared Dress,779,4.0,879,In stock,True,https://www.amazon.in/Janasya-Womens-Cotton-Western-JNE3870-DR_Orange_X-Large/dp/B09RK6BZYM/ref=sr_1_5?keywords=Womens+Dresses&qid=1692379621&sr=8-5,https://m.media-amazon.com/images/I/41CKDeRMo-L._SY445_SX342_.jpg,879,117,680,92,199,25,47,28,12,4,9
AASK Dress for Women|one Piece for Women|Dresses for Women|Kurta Set for Women|Kurta for Women Dress for Women|Women top|Tops for Women|Dress|Dresses for Women,657,4.2,358,In stock,False,https://www.amazon.in/AASK-Dress-Women-Piece-Dresses/dp/B0BRBBKPSC/ref=sr_1_6?keywords=Womens+Dresses&qid=1692379621&sr=8-6,https://m.media-amazon.com/images/I/41Udz+efOJL._SY445_SX342_.jpg,358,120,297,110,61,10,57,24,9,3,8
I ENTERPRISE Women's Georgette Purple V Neck Full Sleeve A-line Dress Dress for Women|One Piece Dress for Women|Dress for Women Stylish|Western Dress|Dress for Women|Printed Dress,369,4.6,7,Only 1 left in stock,False,https://www.amazon.in/ENTERPRISE-Georgette-Stylish-Western-Printed/dp/B0C6KSSHPY/ref=sr_1_7?keywords=Womens+Dresses&qid=1692379621&sr=8-7,https://m.media-amazon.com/images/I/51G6TnrZrML._SX342_SY445_.jpg,0,0,0,0,0,0,81,0,19,0,0
Lymio Women's Mini Dress,599,4.0,282,In stock,False,https://www.amazon.in/Lymio-Dresses-Women-546-Pink/dp/B0B3T9FST2/ref=sxin_17_trfobq2av2_0_B0B3T9FST2?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=Womens+Dresses&keywords=Womens+Dresses&pd_rd_i=B0B3T9FST2&pd_rd_r=7d984293-0323-4c62-ad32-3b6c6d45cc24&pd_rd_w=5rds3&pd_rd_wg=cHupl&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=ZZ8AVJDC0B0G39CADD76&qid=1692379621&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-973fd8bd-28ce-479e-8be4-fbaf1193947a,https://m.media-amazon.com/images/I/41dlotdGKVL._SY445_SX342_.jpg,282,104,217,95,65,9,54,17,10,8,11
Shasmi Women's Polyester Blend Bodycon Midi Casual Dress,499,4.0,301,Only 1 left in stock,False,https://www.amazon.in/Shasmi-Shree-Midi-20-White/dp/B09QSQ76FZ/ref=sxin_17_trfobq2av2_1_B09QSQ76FZ?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=Womens+Dresses&keywords=Womens+Dresses&pd_rd_i=B09QSQ76FZ&pd_rd_r=7d984293-0323-4c62-ad32-3b6c6d45cc24&pd_rd_w=5rds3&pd_rd_wg=cHupl&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=ZZ8AVJDC0B0G39CADD76&qid=1692379621&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-2-973fd8bd-28ce-479e-8be4-fbaf1193947a,https://m.media-amazon.com/images/I/31RHfDMu03L._SY445_SX342_.jpg,301,67,230,54,71,13,54,21,9,9,8
Styleville.in Women's Synthetic Skater Maxi Dress,782,4.1,47,Only 5 left in stock,False,https://www.amazon.in/Styleville-in-Synthetic-Skater-Dress-SDRF502018_Yellow_S/dp/B08L5M5MK5/ref=sxin_17_trfobq2av2_2_B08L5M5MK5?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=Womens+Dresses&keywords=Womens+Dresses&pd_rd_i=B08L5M5MK5&pd_rd_r=7d984293-0323-4c62-ad32-3b6c6d45cc24&pd_rd_w=5rds3&pd_rd_wg=cHupl&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=ZZ8AVJDC0B0G39CADD76&qid=1692379621&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-3-973fd8bd-28ce-479e-8be4-fbaf1193947a,https://m.media-amazon.com/images/I/31NPAj0u6ML._SX342_SY445_.jpg,0,0,0,0,0,0,56,23,8,5,7
AASK Women Fit& Flare Polyster Solid Dress for Women,429,3.8,32,In stock,False,https://www.amazon.in/AASK-Women-Flare-Polyster-Purple/dp/B0BYP2MPB6/ref=sr_1_8?keywords=Womens+Dresses&qid=1692379621&sr=8-8,https://m.media-amazon.com/images/I/41+FsmemUdL._SY445_SX342_.jpg,0,0,0,0,0,0,44,25,8,11,12
Miss Chase Women's Brick Red & Dusty Green Boat Neck Sleeveless Self Design Lace Overlaid Regular Dress,755,4.2,1522,In stock,False,https://www.amazon.in/Miss-Chase-Multicolored-Georgette-MCAW19D08-57-217-04/dp/B0842Q82V1/ref=sr_1_9?keywords=Womens+Dresses&qid=1692379621&sr=8-9,https://m.media-amazon.com/images/I/31g1BLbhOjL._SY445_SX342_.jpg,1522,189,1281,160,241,29,57,26,8,2,8
AASK Women Fit and Flare Dress,429,4.3,12,In stock,False,https://www.amazon.in/AASK-Women-Flare-Purple-Dress/dp/B0BX6PR9SQ/ref=sr_1_10?keywords=Womens+Dresses&qid=1692379621&sr=8-10,https://m.media-amazon.com/images/I/316aaHBcegL._SY445_SX342_.jpg,0,0,0,0,0,0,63,26,0,0,11
GoSriKi Women Kurta,569,3.8,86,In stock,False,https://www.amazon.in/GoSriKi-Womens-Viscose-Printed-RUH-Maroon-Dress_L-GS_Maroon_Large/dp/B0BRL4XDNV/ref=sr_1_11?keywords=Womens+Dresses&qid=1692379621&sr=8-11,https://m.media-amazon.com/images/I/31KFU8GsNZL._SY445_SX342_.jpg,86,28,63,27,23,1,52,19,3,8,19
OTABU Women's Print 3/4 Sleeve Pleated Midi Dress with Belt,499,4.1,90,In stock,False,https://www.amazon.in/OTABU-Womens-Print-Sleeve-Pleated/dp/B0BYK13X3L/ref=sr_1_12?keywords=Womens+Dresses&qid=1692379621&sr=8-12,https://m.media-amazon.com/images/I/41asGIQ-5NL._SY445_SX342_.jpg,90,19,70,18,20,1,47,29,15,3,6
"KERI PERRY Women's Chiffon Western Dress(Sky Blue) Dress for Women, Dress",576,3.8,476,In stock,False,https://www.amazon.in/KERI-PERRY-Womens-Georgette-Western/dp/B0BSNXM3MS/ref=sr_1_13?keywords=Womens+Dresses&qid=1692379621&sr=8-13,https://m.media-amazon.com/images/I/41PB1tLLt7L._SY445_SX342_.jpg,476,104,342,87,135,17,45,24,14,5,12
Janasya Women's Blue Poly Georgette Floral Flared Western Dress,1057,3.8,714,In stock,False,https://www.amazon.in/Janasya-Womens-Georgette-Dress-Blue_Large/dp/B099NRCT7B/ref=sr_1_14?keywords=Womens+Dresses&qid=1692379621&sr=8-14,https://m.media-amazon.com/images/I/41fwVnto21S._SY445_SX342_.jpg,714,79,503,59,211,20,46,24,11,7,12
UNIBLISS Women's Cotton Skater Knee Length Dress,494,3.5,485,In stock,False,https://www.amazon.in/UNIBLISS-Womens-Cotton-Skater-X-Large/dp/B09T9Y3LNH/ref=sr_1_15?keywords=Womens+Dresses&qid=1692379621&sr=8-15,https://m.media-amazon.com/images/I/31DUC69PT2L._SY445_SX342_.jpg,485,64,285,33,200,31,37,22,15,9,17
Janasya Women's Maxi Dress,932,4.1,123,In stock,False,https://www.amazon.in/Janasya-Womens-Yellow-Georgette-Western/dp/B0B5HJ7NJW/ref=sr_1_16?keywords=Womens+Dresses&qid=1692379621&sr=8-16,https://m.media-amazon.com/images/I/41JS3+8UXlL._SY445_SX342_.jpg,123,26,99,24,24,2,50,29,10,2,9
Harpa Women's Polyester A-Line Maxi Casual Dress,718,4.1,206,In stock,True,https://www.amazon.in/Harpa-Womens-Polyester-Casual-GR6261_Mauve_Large/dp/B09VSP6LL3/ref=sr_1_17?keywords=Womens+Dresses&qid=1692379621&sr=8-17,https://m.media-amazon.com/images/I/31DysCNz2cL._SX342_SY445_.jpg,206,30,167,23,39,7,55,25,7,5,9
Sheetal Associates Women Maxi Bodycon Dress,355,4.3,873,In stock,True,https://www.amazon.in/Sheetal-Associates-Womens-Bishop-Bodycon/dp/B0B74CCXRL/ref=sr_1_18?keywords=Womens+Dresses&qid=1692379621&sr=8-18,https://m.media-amazon.com/images/I/31VgkbarM0L._SY445_SX342_.jpg,873,157,706,139,167,18,60,20,11,3,6
Bollyclues Women's Floral Maxi Dress,379,3.5,4227,In stock,False,https://www.amazon.in/Bollyclues-Crepe-Flare-Dress-BCPR001DS_Maroon_L/dp/B08RDVHK9Q/ref=sr_1_19?keywords=Womens+Dresses&qid=1692379621&sr=8-19,https://m.media-amazon.com/images/I/41Ax9b0ryvL._SY445_SX342_.jpg,4227,382,2559,222,1668,160,36,23,17,8,17
Preneum Women's Georgette a-line Knee-Long Dress,699,3.5,119,In stock,False,https://www.amazon.in/Preneum-Womens-Georgette-line-Knee-Long/dp/B0BRXW5BRT/ref=sr_1_20?keywords=Womens+Dresses&qid=1692379621&sr=8-20,https://m.media-amazon.com/images/I/51vojO2U9tL._SY445_SX342_QL70_ML2_.jpg,119,32,70,17,49,15,34,25,14,9,18
RARE Women's Synthetic a-line Mini Casual Dress,449,4.0,447,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTQzMTM1NDAyODkyMTAwOjE2OTIzNzk2MjE6c3BfbXRmOjIwMDMxNDEwNjczMzA4OjowOjo&url=%2FRARE-Black-Flare-Dress-EP1053A-L%2Fdp%2FB07NTCNR7M%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DWomens%2BDresses%26qid%3D1692379621%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/31bHxXS4QML._SX342_SY445_.jpg,447,44,338,36,109,8,47,27,9,6,10
Uptownie Lite Women's Shirt Maxi Dress,499,3.9,2168,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTQzMTM1NDAyODkyMTAwOjE2OTIzNzk2MjE6c3BfbXRmOjIwMDU4NTQzMjY4MTA3OjowOjo&url=%2FUptownie-Lite-Womens-Button-Maroon%2Fdp%2FB07S4JXQR6%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DWomens%2BDresses%26qid%3D1692379621%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/31lEkTtZt8L._SX342_SY445_.jpg,2168,326,1594,256,574,70,48,24,12,5,12
