title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
"HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces, 3 years warranty",349,4.3,58473,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTA0MTg1NTgyMzc0NTk1OjE2OTI0NDU4NTg6c3BfYXRmOjIwMDQ2MzE0NDUwNjk4OjowOjo&url=%2FHP-X1000-Wired-Mouse-Black%2Fdp%2FB009VCGPSY%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dmouse%26qid%3D1692445858%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/31plkeAvAQL._SX300_SY300_QL70_ML2_.jpg,58473,12399,48408,9784,10070,2615,57,25,10,3,5
"Lenovo 300 Wired Plug & Play USB Mouse, High Resolution 1600 DPI Optical Sensor, 3-Button Design with clickable Scroll Wheel, Ambidextrous, Ergonomic Mouse for Comfortable All-Day Grip (GX30M39704)",289,4.4,27568,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTA0MTg1NTgyMzc0NTk1OjE2OTI0NDU4NTg6c3BfYXRmOjIwMDYxNDIzNjc0NTk4OjowOjo&url=%2FLenovo-GX30M39704-300-USB-Mouse%2Fdp%2FB073BRXPZX%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dmouse%26qid%3D1692445858%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/21LVOIuWcLL._SX300_SY300_QL70_ML2_.jpg,27568,3232,24326,2761,3242,471,61,26,8,2,3
"Zebronics Zeb-Power Wired USB Mouse, 3-Button, 1200 DPI Optical Sensor, Plug & Play, for Windows/Mac",139,4.0,6626,In stock,False,https://www.amazon.in/Zebronics-Zeb-Power-Wired-Mouse-Black/dp/B07L9FW9GF/ref=sr_1_3?keywords=mouse&qid=1692445858&sr=8-3,https://m.media-amazon.com/images/I/31aJNyKmGHL._SX300_SY300_QL70_ML2_.jpg,6626,854,4879,532,1754,322,48,26,13,5,9
"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black",595,4.3,67301,In stock,True,https://www.amazon.in/Logitech-B170-Wireless-Mouse-Black/dp/B01J0XWYKQ/ref=sr_1_4?keywords=mouse&qid=1692445858&sr=8-4,https://m.media-amazon.com/images/I/31y-oJ1XnqL._SX300_SY300_QL70_ML2_.jpg,67301,12246,57938,8945,9372,3301,62,24,7,2,5
"Redgear A-17 Gaming Mouse with Upto 6400 DPI, RGB Lighting and Braided Cable(Black)",249,4.2,2193,In stock,True,https://www.amazon.in/Redgear-Gaming-Mouse-Lighting-Braided/dp/B097RH8XTG/ref=sr_1_5?keywords=mouse&qid=1692445858&sr=8-5,https://m.media-amazon.com/images/I/31SY6XTJ6GS._SY300_SX300_QL70_ML2_.jpg,2193,362,1765,230,432,132,55,25,9,4,7
"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC/Mac/Laptop - Charcoal Grey",745,4.4,37920,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDAwNDc3MjYwMjQyNTk1OjE2OTI0NDU4NTg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDcwOTAwOTc2MjA1OjowOjo&url=%2FLogitech-Silent-Wireless-Mouse-Charcoal%2Fdp%2FB01M72LILF%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26cv_ct_cx%3Dmouse%26keywords%3Dmouse%26pd_rd_i%3DB01M72LILF%26pd_rd_r%3D8ef3e727-24c5-4ec5-9d17-c83e5c3916d1%26pd_rd_w%3D3DBQH%26pd_rd_wg%3DltXU7%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3DZDBQF2WCR2PFEYZKNTC5%26qid%3D1692445858%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/31ROHZJMEUL._SX300_SY300_QL70_ML2_.jpg,37920,5786,33565,4342,4359,1444,65,22,6,2,5
"Verilux® Wireless Mouse Rechargeable, Upgraded Ultra Slim 2.4G Silent Cordless Mouse Computer Mice 1600 DPI with USB Receiver for Laptop PC Mac MacBook, Windows (Space Sliver+ Battery Level Visible)",799,4.0,591,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDAwNDc3MjYwMjQyNTk1OjE2OTI0NDU4NTg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDk5Mjk4MjU5MTk4OjoxOjo&url=%2FVerilux%25C2%25AE-Wireless-Rechargeable-Upgraded-Cordless%2Fdp%2FB09NQYBDNK%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26cv_ct_cx%3Dmouse%26keywords%3Dmouse%26pd_rd_i%3DB09NQYBDNK%26pd_rd_r%3D8ef3e727-24c5-4ec5-9d17-c83e5c3916d1%26pd_rd_w%3D3DBQH%26pd_rd_wg%3DltXU7%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3DZDBQF2WCR2PFEYZKNTC5%26qid%3D1692445858%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/310dQ5sWJoL._SX300_SY300_QL70_ML2_.jpg,591,164,458,109,133,55,57,19,7,4,13
"ELEPHANTBOAT® Hard Travel Mouse Case for Logitech MX Master 3 /3S/ Master 2S / MX Master Advanced Wireless Mouse, Travel Carrying Protective Storage Bag",706,5.0,1,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDAwNDc3MjYwMjQyNTk1OjE2OTI0NDU4NTg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTMwMzg4ODUyODk4OjoyOjo&url=%2FELEPHANTBOAT%25C2%25AE-Logitech-Advanced-Wireless-Protective%2Fdp%2FB0BVFDZCSW%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26cv_ct_cx%3Dmouse%26keywords%3Dmouse%26pd_rd_i%3DB0BVFDZCSW%26pd_rd_r%3D8ef3e727-24c5-4ec5-9d17-c83e5c3916d1%26pd_rd_w%3D3DBQH%26pd_rd_wg%3DltXU7%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3DZDBQF2WCR2PFEYZKNTC5%26qid%3D1692445858%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/419waumcBqL._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,100,0,0,0,0
"Logitech M240 Silent Bluetooth Mouse, Wireless, Compact, Portable, Smooth Tracking, 18-Month Battery, for Windows, macOS, ChromeOS, Compatible with PC, Mac, Laptop, Tablets - Graphite",1499,4.1,57,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDAwNDc3MjYwMjQyNTk1OjE2OTI0NDU4NTg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTYyODg3NzEwMjk4OjozOjo&url=%2FLogitech-Bluetooth-Wireless-Portable-Compatible%2Fdp%2FB0C52ZF43S%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26cv_ct_cx%3Dmouse%26keywords%3Dmouse%26pd_rd_i%3DB0C52ZF43S%26pd_rd_r%3D8ef3e727-24c5-4ec5-9d17-c83e5c3916d1%26pd_rd_w%3D3DBQH%26pd_rd_wg%3DltXU7%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3DZDBQF2WCR2PFEYZKNTC5%26qid%3D1692445858%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/21f1f7tpNpL._SX300_SY300_QL70_ML2_.jpg,57,17,47,8,12,9,65,11,6,3,15
Verilux® Mouse Grip Tape for Logitech G Pro Wireless Mouse Pre-Cutted Self-Adhesive Mouse Grip Tape Sweat-Proof Anti-Slip Non-Fading Gaming Mouse Skin Cool Mice Upgrade Kit (Mouse is NOT Included),399,4.1,20,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDAwNDc3MjYwMjQyNTk1OjE2OTI0NDU4NTg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTU1NTk5MDcyOTk4Ojo0Ojo&url=%2FPre-Cutted-Self-Adhesive-Sweat-Proof-Anti-Slip-Non-Fading%2Fdp%2FB0BQ21VYF5%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26cv_ct_cx%3Dmouse%26keywords%3Dmouse%26pd_rd_i%3DB0BQ21VYF5%26pd_rd_r%3D8ef3e727-24c5-4ec5-9d17-c83e5c3916d1%26pd_rd_w%3D3DBQH%26pd_rd_wg%3DltXU7%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3DZDBQF2WCR2PFEYZKNTC5%26qid%3D1692445858%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/519CTsmThvL._SX300_SY300_QL70_ML2_.jpg,20,6,17,5,3,1,47,34,11,0,8
